#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000007	0.179866	2.56719e-228	2.08296e-104	1.23247e-124	N/S
OG0000007	0.756562	2.38986e-150	2.08296e-104	1.14734e-46	N/S
OG0000007	2.06357	2.08296e-104	2.08296e-104	1	*
OG0000009	0.179866	1.27284e-243	1.34986e-99	9.42947e-145	N/S
OG0000009	0.756562	4.11258e-153	1.34986e-99	3.04668e-54	N/S
OG0000009	2.06357	1.34986e-99	1.34986e-99	1	*
OG0000010	0.179866	1.84956e-232	1.01227e-104	1.82714e-128	N/S
OG0000010	0.756562	1.8602e-152	1.01227e-104	1.83765e-48	N/S
OG0000010	2.06357	1.01227e-104	1.01227e-104	1	*
OG0000011	0.179866	3.00532e-182	2.18986e-79	1.37238e-103	N/S
OG0000011	0.756562	5.04592e-118	2.18986e-79	2.30422e-39	N/S
OG0000011	2.06357	2.18986e-79	2.18986e-79	1	*
OG0000018	0.179866	1.0437e-300	1.03551e-141	1.00791e-159	N/S
OG0000018	0.756562	8.05524e-203	1.03551e-141	7.77902e-62	N/S
OG0000018	2.06357	1.03551e-141	1.03551e-141	1	*
OG0000026	0.179866	1.17593e-84	1.82393e-40	6.44725e-45	N/S
OG0000026	0.756562	9.37225e-56	1.82393e-40	5.13849e-16	N/S
OG0000026	2.06357	1.82393e-40	1.82393e-40	1	*
OG0000027	0.179866	4.517e-152	2.50619e-62	1.80234e-90	N/S
OG0000027	0.756562	5.07836e-95	2.50619e-62	2.02633e-33	N/S
OG0000027	2.06357	2.50619e-62	2.50619e-62	1	*
OG0000028	0.179866	2.48741e-102	4.94929e-48	5.02578e-55	N/S
OG0000028	0.756562	7.99007e-67	4.94929e-48	1.61439e-19	N/S
OG0000028	2.06357	4.94929e-48	4.94929e-48	1	*
OG0000030	0.179866	4.25829e-311	3.00211e-131	1.41843e-180	N/S
OG0000030	0.756562	4.68996e-202	3.00211e-131	1.56222e-71	N/S
OG0000030	2.06357	3.00211e-131	3.00211e-131	1	*
OG0000031	0.179866	2.18841e-266	1.25755e-123	1.74021e-143	N/S
OG0000031	0.756562	2.51208e-179	1.25755e-123	1.99759e-56	N/S
OG0000031	2.06357	1.25755e-123	1.25755e-123	1	*
OG0000032	0.179866	0	1.17978e-142	0	N/S
OG0000032	0.756562	4.47582e-215	1.17978e-142	3.79377e-73	N/S
OG0000032	2.06357	1.17978e-142	1.17978e-142	1	*
OG0000035	0.179866	3.06874e-158	4.41029e-74	6.95813e-85	N/S
OG0000035	0.756562	3.27191e-106	4.41029e-74	7.4188e-33	N/S
OG0000035	2.06357	4.41029e-74	4.41029e-74	1	*
OG0000036	0.179866	2.55941e-96	3.60697e-47	7.09573e-50	N/S
OG0000036	0.756562	1.23831e-64	3.60697e-47	3.43311e-18	N/S
OG0000036	2.06357	3.60697e-47	3.60697e-47	1	*
OG0000037	0.179866	3.16506e-94	6.71388e-45	4.71421e-50	N/S
OG0000037	0.756562	1.39629e-62	6.71388e-45	2.07971e-18	N/S
OG0000037	2.06357	6.71388e-45	6.71388e-45	1	*
OG0000038	0.179866	5.06371e-135	2.61902e-69	1.93344e-66	N/S
OG0000038	0.756562	9.32171e-94	2.61902e-69	3.55924e-25	N/S
OG0000038	2.06357	2.61902e-69	2.61902e-69	1	*
OG0000039	0.179866	3.0385e-186	1.477e-92	2.05721e-94	N/S
OG0000039	0.756562	4.44921e-128	1.477e-92	3.01232e-36	N/S
OG0000039	2.06357	1.477e-92	1.477e-92	1	*
OG0000045	0.179866	1.19588e-184	5.5749e-81	2.14511e-104	N/S
OG0000045	0.756562	1.19805e-120	5.5749e-81	2.14902e-40	N/S
OG0000045	2.06357	5.5749e-81	5.5749e-81	1	*
OG0000046	0.179866	7.3879e-83	1.90739e-38	3.87331e-45	N/S
OG0000046	0.756562	1.00816e-53	1.90739e-38	5.28555e-16	N/S
OG0000046	2.06357	1.90739e-38	1.90739e-38	1	*
OG0000047	0.179866	4.01872e-148	3.20948e-75	1.25214e-73	N/S
OG0000047	0.756562	1.24771e-102	3.20948e-75	3.88757e-28	N/S
OG0000047	2.06357	3.20948e-75	3.20948e-75	1	*
OG0000048	0.179866	5.12277e-117	7.48529e-55	6.84378e-63	N/S
OG0000048	0.756562	2.17632e-77	7.48529e-55	2.90747e-23	N/S
OG0000048	2.06357	7.48529e-55	7.48529e-55	1	*
OG0000049	0.179866	5.37594e-278	9.05576e-124	5.93649e-155	N/S
OG0000049	0.756562	6.38846e-185	9.05576e-124	7.05458e-62	N/S
OG0000049	2.06357	9.05576e-124	9.05576e-124	1	*
OG0000050	0.179866	1.02916e-145	1.08865e-62	9.45361e-84	N/S
OG0000050	0.756562	4.65396e-94	1.08865e-62	4.275e-32	N/S
OG0000050	2.06357	1.08865e-62	1.08865e-62	1	*
OG0000051	0.179866	1.45015e-126	1.21254e-58	1.19596e-68	N/S
OG0000051	0.756562	7.37352e-84	1.21254e-58	6.08104e-26	N/S
OG0000051	2.06357	1.21254e-58	1.21254e-58	1	*
OG0000053	0.179866	2.33896e-107	5.00546e-48	4.67282e-60	N/S
OG0000053	0.756562	8.42812e-70	5.00546e-48	1.68379e-22	N/S
OG0000053	2.06357	5.00546e-48	5.00546e-48	1	*
OG0000055	0.179866	3.0522e-142	2.96538e-67	1.02928e-75	N/S
OG0000055	0.756562	9.60451e-96	2.96538e-67	3.23888e-29	N/S
OG0000055	2.06357	2.96538e-67	2.96538e-67	1	*
OG0000056	0.179866	5.83897e-53	8.5737e-28	6.81033e-26	N/S
OG0000056	0.756562	1.18085e-35	8.5737e-28	1.37729e-08	N/S
OG0000056	2.06357	8.5737e-28	8.5737e-28	1	*
OG0000059	0.179866	5.37278e-132	1.36869e-56	3.92549e-76	N/S
OG0000059	0.756562	4.44845e-85	1.36869e-56	3.25015e-29	N/S
OG0000059	2.06357	1.36869e-56	1.36869e-56	1	*
OG0000060	0.179866	4.67722e-69	9.5691e-33	4.88784e-37	N/S
OG0000060	0.756562	2.62539e-45	9.5691e-33	2.74361e-13	N/S
OG0000060	2.06357	9.5691e-33	9.5691e-33	1	*
OG0000061	0.179866	2.55788e-116	6.63109e-52	3.8574e-65	N/S
OG0000061	0.756562	5.39546e-76	6.63109e-52	8.13662e-25	N/S
OG0000061	2.06357	6.63109e-52	6.63109e-52	1	*
OG0000062	0.179866	3.86428e-287	2.35333e-139	1.64205e-148	N/S
OG0000062	0.756562	1.32095e-199	2.35333e-139	5.61312e-61	N/S
OG0000062	2.06357	2.35333e-139	2.35333e-139	1	*
OG0000064	0.179866	2.27714e-123	4.71202e-61	4.83261e-63	N/S
OG0000064	0.756562	2.28287e-84	4.71202e-61	4.84478e-24	N/S
