FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	0.10983	0.186966	2.91852e-13	0.741492	6.68703e-07	0.0547454	0.651025	1.03806e-19	9.24845e-12	2.17901e-49	0.000113854	N/A	5.71455e-18	0.608386	0.696974	0.596935	0.641571	0.88178	1.50386e-07	0.00317054	0.237402
OG0000009	1.19713e-08	0.66148	0.00297347	0.070528	2.86057e-18	8.60603e-14	6.99986e-09	1.65473e-06	0.640296	4.26296e-33	0.000638934	N/A	8.70457e-22	0.61713	0.0202573	0.596935	0.641571	0.203079	3.2169e-07	0.284869	1.78051e-10
OG0000010	8.24641e-11	0.581168	0.262763	0.00414422	0.10401	0.570225	0.000110814	8.22309e-20	2.0294e-30	3.86113e-19	1.82189e-05	N/A	5.78851e-05	0.575062	0.645578	0.566637	5.13849e-09	8.13298e-10	1.71064e-15	3.69941e-08	0.722719
OG0000011	7.24033e-24	0.0147594	0.0413215	0.914159	0.0181043	0.706642	0.880111	4.53945e-15	0.626922	2.47384e-19	0.323965	N/A	8.70457e-22	0.61713	0.328425	0.600985	0.646883	0.213552	0.00342458	8.92335e-10	2.97404e-06
OG0000018	0.496146	6.20456e-05	9.07383e-05	7.29635e-05	4.20411e-21	9.55279e-18	7.26031e-14	9.57453e-18	4.85315e-21	2.05434e-72	0.00301827	N/A	5.78851e-05	0.575062	0.645578	0.566637	0.600288	0.583584	0.113446	0.354588	0.722719
OG0000026	0.00742665	0.644601	0.00386723	0.536897	0.0981992	6.93553e-08	0.385329	0.00384942	4.62471e-11	0.0242823	0.884895	N/A	9.25638e-07	0.580097	0.0986289	0.575656	0.0672944	4.10529e-08	0.435671	0.156306	0.732473
OG0000027	1.13961e-12	1.40106e-08	5.91422e-06	1.26251e-11	0.626022	0.189399	0.369165	0.589603	8.71177e-15	0.0641372	0.667499	N/A	9.25638e-07	0.580097	0.653833	0.571184	0.606656	2.76145e-10	0.435671	9.64949e-08	5.03319e-05
OG0000028	0.216186	0.368659	0.00483341	9.61852e-12	0.527952	0.821634	0.000746384	6.71749e-18	0.14269	0.798056	0.00130166	N/A	9.25638e-07	0.00535269	0.669373	0.580054	0.618904	0.00515845	0.84704	0.0244255	0.00105437
OG0000030	0.76263	3.91581e-05	5.60284e-148	0.164006	0.000192533	0.10401	0.0974783	0.5	0.5	0.0636861	0.631105	N/A	0.50647	0.50647	0.514296	0.505664	0.509028	5.93312e-17	0.000258806	0.672621	0.0393031
OG0000031	0.644601	3.02383e-22	0.0419367	3.01528e-06	2.64467e-19	4.65224e-10	4.15126e-10	1.61328e-42	8.15505e-13	7.52811e-19	0.000706444	N/A	0.022694	0.548396	0.598802	0.542724	0.565794	0.0004276	3.25057e-15	0.236726	0.661842
OG0000032	0.0669376	0.0229702	4.92574e-173	0.0585312	0.570225	0.10401	0.0974783	0.00814775	0.505437	0.0636861	0.631105	N/A	0.50647	0.50647	0.514296	0.505664	0.509028	7.45339e-08	6.50541e-08	0.672621	0.526321
OG0000035	0.427237	0.00116851	5.64488e-16	0.241171	1.53878e-09	2.22687e-14	0.847941	3.30052e-23	0.00151752	0.767987	1.2973e-06	N/A	0.00229174	7.67172e-05	0.653833	0.571184	0.606656	0.854514	7.68378e-12	0.920993	0.175339
OG0000036	0.184218	9.26808e-11	0.000587759	0.0210929	0.122651	0.006388	0.00323194	2.94488e-15	1.74085e-06	0.0242823	0.884895	N/A	9.25638e-07	0.580097	0.0986289	0.575656	0.61286	0.860365	0.0315392	0.503058	0.732473
OG0000037	0.399786	0.8588	0.519557	0.0649208	2.31277e-06	7.49163e-06	0.00056904	1.06412e-13	5.96925e-05	2.32064e-05	0.0233475	N/A	0.00281237	0.569931	0.636979	0.0339894	0.00869403	0.000137751	0.129666	0.917883	0.712249
OG0000038	0.114625	0.357356	0.294582	0.888853	0.285251	0.000224884	0.00510163	6.91126e-34	3.31141e-09	3.86113e-19	0.00600808	N/A	5.78851e-05	0.575062	0.645578	0.566637	0.600288	0.0613157	0.00624412	0.128724	0.722719
OG0000039	0.44048	0.100857	0.209644	0.112653	1.24412e-14	3.21225e-12	3.9375e-08	3.18129e-32	1.06412e-13	4.09334e-27	0.00130166	N/A	0.0323764	0.564701	0.62802	0.557312	0.587037	0.83168	0.774881	0.572971	0.140982
OG0000045	0.122167	0.0609141	0.00568147	0.00205233	1.22653e-10	4.65224e-10	1.26559e-07	0.555191	4.61364e-05	5.69346e-49	1.13058e-05	N/A	0.00181989	0.55937	0.181486	0.547669	0.573065	0.0739612	4.26475e-09	0.530873	0.129052
OG0000046	0.837477	0.0505887	0.0486429	0.000241785	0.0446203	0.0219023	0.00294661	0.0299208	0.000807953	6.46579e-20	0.667499	N/A	0.0323764	0.564701	0.62802	0.557312	0.0496038	0.110442	0.000534882	0.91036	0.701
OG0000047	0.0768772	0.812378	5.45646e-05	0.877918	1.26149e-07	0.00143803	0.00294661	2.06851e-24	6.63622e-17	6.69701e-26	0.884895	N/A	0.0323764	0.564701	0.62802	0.557312	0.587037	0.83168	0.00193919	0.15036	0.701
OG0000048	0.804432	0.0694758	0.593651	0.277762	8.10816e-07	2.34611e-06	0.000258758	4.14444e-20	0.000965573	4.14268e-14	4.7488e-08	N/A	0.0323764	0.564701	0.196215	0.552531	0.580144	0.086005	0.113446	0.553371	0.140982
OG0000049	0.5	0.5	2.36822e-153	0.611687	0.570225	0.570225	0.565758	0.505437	0.00814775	0.542776	0.631105	N/A	0.50647	0.50647	0.514296	0.505664	0.509028	1.40321e-05	2.00938e-07	0.672621	0.526321
