#Taxon_ID	Increase	Decrease
<20>	278	3555
Lyrho<5>	1729	1700
<13>	50	3
<14>	57	675
<15>	237	707
<16>	40	226
<17>	38	61
<18>	521	563
Setor<3>	365	5134
Zeins<4>	2552	1812
Erjap<9>	2638	1674
Cechi<6>	460	3843
<19>	1225	221
Artha<11>	2911	3359
Vivin<10>	4833	1575
Poten<7>	3203	2529
<21>	241	1557
Qumon<8>	1072	4623
Metru<1>	1041	3756
Glmax<2>	6164	555
