FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	0.0587214	0.11904	7.70544e-15	0.266896	4.69901e-09	0.0163588	0.443366	1.07234e-09	2.25759e-07	6.74424e-30	0.00419003	N/A	5.73984e-15	0.732458	0.417849	0.577159	0.883925	0.848463	8.85819e-07	0.00271153	0.629721
OG0000009	2.33965e-10	0.592995	0.00110306	0.0342826	1.78999e-23	2.38644e-17	0.00016934	0.0180323	0.605562	2.25947e-21	0.0273559	N/A	5.73984e-15	0.732458	0.86534	0.574066	0.880837	0.117374	1.14707e-07	0.347622	3.02907e-05
OG0000010	1.69967e-12	0.891991	0.04707	0.92527	0.0650463	0.543697	0.0507301	4.88296e-13	1.02313e-18	4.56105e-13	0.00231683	N/A	0.0186436	0.661829	0.811331	0.54455	3.00199e-11	9.53757e-07	4.21832e-17	9.15044e-10	0.896459
OG0000011	8.24741e-28	0.00496118	0.0461561	0.91646	0.00668038	0.644041	0.315731	7.66819e-06	0.21963	2.23368e-14	0.651354	N/A	3.95688e-12	0.719296	0.605445	0.56457	0.0960482	0.117374	0.000853793	2.60096e-10	6.10075e-05
OG0000018	0.0425526	0.000150522	4.85133e-06	0.0020476	2.76803e-26	4.97853e-21	4.87173e-08	6.61311e-09	1.63609e-14	5.33382e-46	0.0406688	N/A	4.66409e-05	0.680311	0.828174	0.55138	0.371617	0.504857	0.205719	0.516792	0.904717
OG0000026	0.0020502	0.573133	0.00469928	0.24445	0.0966509	1.23692e-09	0.428613	0.000750916	0.000252292	0.00957066	0.785083	N/A	0.0186436	0.661829	0.0756721	0.55138	0.000445383	4.83289e-06	0.348605	0.164193	0.896459
OG0000027	1.78019e-17	3.5971e-08	3.72168e-07	1.09181e-10	0.581752	0.122715	0.217901	0.493044	5.02046e-07	0.0364582	0.928151	N/A	0.0186436	0.661829	0.811331	0.54455	0.335859	2.81397e-12	0.331743	2.75347e-08	0.000676111
OG0000028	0.492197	0.0673232	0.00121099	7.60783e-10	0.411171	0.758595	0.00372154	1.06683e-08	0.143334	0.196088	0.0177466	N/A	0.0186436	0.105148	0.820254	0.547985	0.354337	5.33376e-05	0.801772	0.149673	0.000994167
OG0000030	0.712851	6.29074e-06	4.31625e-151	0.0131011	4.45563e-05	0.0650463	0.292129	0.5	0.5	0.15724	0.744809	N/A	0.517783	0.517783	0.554792	0.50396	0.034216	1.60754e-13	0.0290247	0.61551	0.193114
OG0000031	0.573133	1.58823e-26	0.0135569	4.20188e-07	4.22539e-22	2.61109e-13	3.51202e-06	4.64729e-21	1.28878e-12	4.71426e-11	0.0270455	N/A	0.00974341	0.630355	0.776566	0.533999	0.802586	7.97943e-05	4.12778e-16	0.156884	0.188544
OG0000032	0.000631141	0.560001	1.4231e-174	0.694034	0.543697	0.0650463	0.292129	0.0471167	0.531583	0.15724	0.744809	N/A	0.517783	0.517783	0.554792	0.50396	0.034216	0.000166469	0.000204997	0.61551	0.632114
OG0000035	0.340302	0.000221272	1.20568e-17	0.533919	3.17527e-13	5.7722e-16	0.647421	1.10028e-10	0.000937055	0.418683	0.000875861	N/A	0.0124695	0.0186436	0.289693	0.547985	0.113142	0.28613	6.38598e-11	0.891355	0.0199913
OG0000036	0.0572415	1.54274e-12	8.50187e-05	0.0804645	0.121018	0.00117627	0.0466557	9.2621e-07	4.42696e-06	0.00957066	0.785083	N/A	0.0186436	0.661829	0.0756721	0.55138	0.124609	0.816142	0.100503	0.696913	0.896459
OG0000037	0.313816	0.822416	0.530446	0.911938	5.3493e-08	2.64546e-07	0.0260135	5.56224e-07	0.000556129	0.000682771	0.294911	N/A	0.015444	0.651867	0.066588	0.547985	0.000324928	0.0477025	0.0775013	0.891355	0.891411
OG0000038	0.0673232	0.274475	0.306695	0.69847	0.188562	2.02282e-05	0.296776	4.308e-17	8.45795e-08	4.56105e-13	0.0623282	N/A	0.0186436	0.661829	0.811331	0.54455	0.10163	0.0663584	0.00194569	0.134784	0.105332
OG0000039	0.354277	0.058128	0.220521	0.071994	3.42072e-18	2.39641e-14	0.000553976	2.39222e-17	8.94554e-10	3.58953e-16	0.0177466	N/A	0.0186436	0.661829	0.508754	0.541074	0.825115	0.770919	0.725333	0.462338	0.518751
OG0000045	0.294751	0.0775013	0.0016024	0.000320334	3.64347e-13	3.89995e-12	0.000171858	0.374853	0.0667765	1.08552e-30	0.000875861	N/A	0.000564349	0.651867	0.489018	0.537557	0.814702	0.0844501	1.10562e-10	0.874084	0.49945
OG0000046	0.795645	0.0234587	0.00466272	0.0804645	0.0147849	0.00617499	0.0507301	0.167149	0.0250323	1.93484e-11	0.928151	N/A	0.0186436	0.661829	0.811331	0.54455	0.00913114	0.816142	0.0159409	0.672511	0.698125
OG0000047	0.0919072	0.766015	1.37198e-05	0.674187	1.54263e-09	0.000165628	0.0507301	4.88296e-13	4.13515e-12	2.18716e-15	0.785083	N/A	0.0186436	0.661829	0.811331	0.54455	0.834133	0.781951	0.00799464	0.215534	0.896459
OG0000048	0.757054	0.0833346	0.603525	0.121349	1.67513e-08	6.99871e-08	0.0162782	6.61311e-09	0.000457153	9.71046e-09	7.35398e-05	N/A	0.0882745	0.651867	0.801226	0.541074	0.825115	0.223823	0.0664018	0.880741	0.0922177
