#Taxon_ID	Increase	Decrease
<20>	192	2959
Lyrho<5>	1588	1714
<13>	73	3
<14>	15	119
<15>	249	895
<16>	2	1
<17>	506	455
<18>	271	237
Setor<3>	496	4869
Zeins<4>	2440	1334
Erjap<9>	2926	1705
Cechi<6>	425	3915
<19>	1081	196
Artha<11>	3405	3225
Vivin<10>	5519	1507
Poten<7>	3733	2669
<21>	484	1633
Qumon<8>	1148	4505
Metru<1>	1061	3300
Glmax<2>	6472	505
