#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000007	0.479275	1.84926e-112	1.37258e-65	1.34729e-47	N/S
OG0000007	1.52073	1.37258e-65	1.37258e-65	1	*
OG0000009	0.479275	8.42278e-126	7.39953e-73	1.13829e-53	N/S
OG0000009	1.52073	7.39953e-73	7.39953e-73	1	*
OG0000010	0.479275	2.15486e-124	5.59584e-73	3.85083e-52	N/S
OG0000010	1.52073	5.59584e-73	5.59584e-73	1	*
OG0000011	0.479275	3.11799e-87	3.96332e-51	7.86711e-37	N/S
OG0000011	1.52073	3.96332e-51	3.96332e-51	1	*
OG0000018	0.479275	1.10555e-164	6.96814e-100	1.58658e-65	N/S
OG0000018	1.52073	6.96814e-100	6.96814e-100	1	*
OG0000026	0.479275	1.09049e-50	3.70669e-34	2.94196e-17	N/S
OG0000026	1.52073	3.70669e-34	3.70669e-34	1	*
OG0000027	0.479275	1.31025e-82	1.75268e-48	7.47566e-35	N/S
OG0000027	1.52073	1.75268e-48	1.75268e-48	1	*
OG0000028	0.479275	7.73844e-54	4.48439e-35	1.72564e-19	N/S
OG0000028	1.52073	4.48439e-35	4.48439e-35	1	*
OG0000030	0.479275	2.00658e-213	7.84898e-131	2.55649e-83	N/S
OG0000030	1.52073	7.84898e-131	7.84898e-131	1	*
OG0000031	0.479275	4.23197e-145	5.30951e-86	7.97054e-60	N/S
OG0000031	1.52073	5.30951e-86	5.30951e-86	1	*
OG0000032	0.479275	3.35528e-226	3.41325e-141	9.83017e-86	N/S
OG0000032	1.52073	3.41325e-141	3.41325e-141	1	*
OG0000035	0.479275	6.93647e-92	4.27815e-57	1.62137e-35	N/S
OG0000035	1.52073	4.27815e-57	4.27815e-57	1	*
OG0000036	0.479275	4.2484e-50	1.07824e-32	3.94014e-18	N/S
OG0000036	1.52073	1.07824e-32	1.07824e-32	1	*
OG0000037	0.479275	1.35854e-54	4.31859e-35	3.14581e-20	N/S
OG0000037	1.52073	4.31859e-35	4.31859e-35	1	*
OG0000038	0.479275	5.92347e-64	9.59763e-40	6.1718e-25	N/S
OG0000038	1.52073	9.59763e-40	9.59763e-40	1	*
OG0000039	0.479275	6.93773e-101	1.29462e-63	5.35888e-38	N/S
OG0000039	1.52073	1.29462e-63	1.29462e-63	1	*
OG0000045	0.479275	4.35119e-100	1.30747e-59	3.32795e-41	N/S
OG0000045	1.52073	1.30747e-59	1.30747e-59	1	*
OG0000046	0.479275	7.6222e-44	5.15819e-29	1.47769e-15	N/S
OG0000046	1.52073	5.15819e-29	5.15819e-29	1	*
OG0000047	0.479275	1.02566e-75	2.9354e-47	3.49412e-29	N/S
OG0000047	1.52073	2.9354e-47	2.9354e-47	1	*
OG0000048	0.479275	1.57786e-62	8.33137e-40	1.89388e-23	N/S
OG0000048	1.52073	8.33137e-40	8.33137e-40	1	*
OG0000049	0.479275	2.08015e-194	9.19705e-123	2.26176e-72	N/S
OG0000049	1.52073	9.19705e-123	9.19705e-123	1	*
OG0000050	0.479275	7.85412e-72	2.87959e-41	2.72752e-31	N/S
OG0000050	1.52073	2.87959e-41	2.87959e-41	1	*
OG0000051	0.479275	1.20418e-66	1.08961e-40	1.10514e-26	N/S
OG0000051	1.52073	1.08961e-40	1.08961e-40	1	*
OG0000053	0.479275	1.03089e-67	6.738e-44	1.52997e-24	N/S
OG0000053	1.52073	6.738e-44	6.738e-44	1	*
OG0000055	0.479275	7.24056e-73	1.69963e-45	4.26007e-28	N/S
OG0000055	1.52073	1.69963e-45	1.69963e-45	1	*
OG0000056	0.479275	1.82678e-30	6.56685e-23	2.78182e-08	N/S
OG0000056	1.52073	6.56685e-23	6.56685e-23	1	*
OG0000059	0.479275	1.28599e-70	1.31938e-42	9.74697e-29	N/S
OG0000059	1.52073	1.31938e-42	1.31938e-42	1	*
OG0000060	0.479275	9.15755e-39	1.14651e-26	7.9873e-13	N/S
OG0000060	1.52073	1.14651e-26	1.14651e-26	1	*
OG0000061	0.479275	1.91448e-64	1.56141e-39	1.22612e-25	N/S
OG0000061	1.52073	1.56141e-39	1.56141e-39	1	*
OG0000062	0.479275	1.43476e-169	1.31058e-103	1.09475e-66	N/S
OG0000062	1.52073	1.31058e-103	1.31058e-103	1	*
OG0000064	0.479275	3.23326e-59	1.8493e-36	1.74837e-23	N/S
OG0000064	1.52073	1.8493e-36	1.8493e-36	1	*
OG0000066	0.479275	1.42173e-65	2.98421e-40	4.76419e-26	N/S
OG0000066	1.52073	2.98421e-40	2.98421e-40	1	*
OG0000068	0.479275	1.81954e-85	1.43781e-50	1.2655e-35	N/S
OG0000068	1.52073	1.43781e-50	1.43781e-50	1	*
OG0000073	0.479275	3.37651e-31	1.46442e-22	2.30571e-09	N/S
OG0000073	1.52073	1.46441e-22	1.46442e-22	1	*
OG0000077	0.479275	3.09695e-63	1.26817e-38	2.44205e-25	N/S
OG0000077	1.52073	1.26817e-38	1.26817e-38	1	*
OG0000078	0.479275	1.41254e-160	2.01094e-98	7.02427e-63	N/S
OG0000078	1.52073	2.01094e-98	2.01094e-98	1	*
OG0000079	0.479275	7.56445e-64	1.92108e-38	3.93761e-26	N/S
OG0000079	1.52073	1.92108e-38	1.92108e-38	1	*
OG0000082	0.479275	4.47027e-82	2.56481e-49	1.74293e-33	N/S
OG0000082	1.52073	2.56481e-49	2.56481e-49	1	*
OG0000084	0.479275	3.05815e-65	1.37943e-41	2.21697e-24	N/S
OG0000084	1.52073	1.37943e-41	1.37943e-41	1	*
OG0000085	0.479275	1.22702e-40	1.04602e-28	1.17304e-12	N/S
OG0000085	1.52073	1.04602e-28	1.04602e-28	1	*
OG0000088	0.479275	5.27504e-55	3.10692e-35	1.69783e-20	N/S
OG0000088	1.52073	3.10692e-35	3.10692e-35	1	*
OG0000090	0.479275	7.04218e-52	3.37909e-34	2.08405e-18	N/S
OG0000090	1.52073	3.37909e-34	3.37909e-34	1	*
OG0000091	0.479275	3.05047e-50	3.25367e-32	9.37545e-19	N/S
OG0000091	1.52073	3.25367e-32	3.25367e-32	1	*
OG0000093	0.479275	8.93642e-46	7.48694e-31	1.1936e-15	N/S
OG0000093	1.52073	7.48694e-31	7.48694e-31	1	*
OG0000095	0.479275	3.38093e-95	6.61831e-59	5.10844e-37	N/S
OG0000095	1.52073	6.61831e-59	6.61831e-59	1	*
OG0000097	0.479275	6.10676e-27	9.7665e-21	6.25276e-07	N/S
OG0000097	1.52073	9.7665e-21	9.7665e-21	0.999999	*
OG0000098	0.479275	3.44827e-42	1.56629e-27	2.20155e-15	N/S
OG0000098	1.52073	1.56629e-27	1.56629e-27	1	*
OG0000099	0.479275	1.16472e-74	9.39039e-44	1.24034e-31	N/S
OG0000099	1.52073	9.39039e-44	9.39039e-44	1	*
OG0000101	0.479275	2.58167e-50	2.32093e-31	1.11234e-19	N/S
OG0000101	1.52073	2.32093e-31	2.32093e-31	1	*
OG0000102	0.479275	1.38533e-101	1.0156e-59	1.36405e-42	N/S
OG0000102	1.52073	1.0156e-59	1.0156e-59	1	*
OG0000105	0.479275	4.43566e-108	5.91044e-68	7.50478e-41	N/S
OG0000105	1.52073	5.91044e-68	5.91044e-68	1	*
OG0000108	0.479275	1.15671e-48	1.35431e-30	8.54098e-19	N/S
OG0000108	1.52073	1.35431e-30	1.35431e-30	1	*
OG0000109	0.479275	1.88379e-56	9.77714e-36	1.92673e-21	N/S
OG0000109	1.52073	9.77714e-36	9.77714e-36	1	*
OG0000110	0.479275	2.68388e-48	2.43934e-31	1.10025e-17	N/S
OG0000110	1.52073	2.43934e-31	2.43934e-31	1	*
OG0000111	0.479275	6.10192e-67	2.16104e-40	2.82361e-27	N/S
OG0000111	1.52073	2.16104e-40	2.16104e-40	1	*
OG0000115	0.479275	1.50045e-53	4.82588e-34	3.10918e-20	N/S
OG0000115	1.52073	4.82588e-34	4.82588e-34	1	*
OG0000116	0.479275	1.31802e-36	1.36747e-24	9.63834e-13	N/S
OG0000116	1.52073	1.36747e-24	1.36747e-24	1	*
OG0000122	0.479275	6.12968e-41	4.10368e-27	1.4937e-14	N/S
OG0000122	1.52073	4.10368e-27	4.10368e-27	1	*
OG0000124	0.479275	3.28092e-32	5.69888e-22	5.75713e-11	N/S
OG0000124	1.52073	5.69888e-22	5.69888e-22	1	*
OG0000125	0.479275	2.54214e-31	1.0989e-22	2.31335e-09	N/S
OG0000125	1.52073	1.0989e-22	1.0989e-22	1	*
OG0000126	0.479275	5.39401e-73	1.00133e-45	5.38685e-28	N/S
OG0000126	1.52073	1.00133e-45	1.00133e-45	1	*
OG0000129	0.479275	1.20439e-19	3.79798e-17	0.00317113	N/S
OG0000129	1.52073	3.78594e-17	3.79798e-17	0.996829	*
OG0000130	0.479275	4.59434e-77	3.21089e-46	1.43086e-31	N/S
OG0000130	1.52073	3.21089e-46	3.21089e-46	1	*
OG0000134	0.479275	5.12859e-69	3.35113e-44	1.53041e-25	N/S
OG0000134	1.52073	3.35113e-44	3.35113e-44	1	*
OG0000136	0.479275	9.53183e-27	5.5414e-20	1.72011e-07	N/S
OG0000136	1.52073	5.5414e-20	5.5414e-20	1	*
OG0000137	0.479275	1.35357e-38	6.12252e-26	2.2108e-13	N/S
OG0000137	1.52073	6.12252e-26	6.12252e-26	1	*
OG0000138	0.479275	2.22851e-31	4.42238e-22	5.03917e-10	N/S
OG0000138	1.52073	4.42238e-22	4.42238e-22	1	*
OG0000139	0.479275	7.25802e-44	2.01064e-27	3.6098e-17	N/S
OG0000139	1.52073	2.01064e-27	2.01064e-27	1	*
OG0000140	0.479275	8.73958e-38	2.2841e-24	3.82627e-14	N/S
OG0000140	1.52073	2.2841e-24	2.2841e-24	1	*
OG0000141	0.479275	1.79203e-57	4.24461e-35	4.22189e-23	N/S
OG0000141	1.52073	4.24461e-35	4.24461e-35	1	*
OG0000145	0.479275	5.09794e-106	2.83467e-62	1.79843e-44	N/S
OG0000145	1.52073	2.83467e-62	2.83467e-62	1	*
OG0000146	0.479275	1.87495e-29	4.90247e-21	3.8245e-09	N/S
OG0000146	1.52073	4.90247e-21	4.90247e-21	1	*
OG0000147	0.479275	1.72588e-33	9.45285e-24	1.82577e-10	N/S
