Family ID	0.479275	1.52073	
OG0000007	1.84926e-112	1.37258e-65	
OG0000009	8.42278e-126	7.39953e-73	
OG0000010	2.15486e-124	5.59584e-73	
OG0000011	3.11799e-87	3.96332e-51	
OG0000018	1.10555e-164	6.96814e-100	
OG0000026	1.09049e-50	3.70669e-34	
OG0000027	1.31025e-82	1.75268e-48	
OG0000028	7.73844e-54	4.48439e-35	
OG0000030	2.00658e-213	7.84898e-131	
OG0000031	4.23197e-145	5.30951e-86	
OG0000032	3.35528e-226	3.41325e-141	
OG0000035	6.93647e-92	4.27815e-57	
OG0000036	4.2484e-50	1.07824e-32	
OG0000037	1.35854e-54	4.31859e-35	
OG0000038	5.92347e-64	9.59763e-40	
OG0000039	6.93773e-101	1.29462e-63	
OG0000045	4.35119e-100	1.30747e-59	
OG0000046	7.6222e-44	5.15819e-29	
OG0000047	1.02566e-75	2.9354e-47	
OG0000048	1.57786e-62	8.33137e-40	
OG0000049	2.08015e-194	9.19705e-123	
OG0000050	7.85412e-72	2.87959e-41	
OG0000051	1.20418e-66	1.08961e-40	
OG0000053	1.03089e-67	6.738e-44	
OG0000055	7.24056e-73	1.69963e-45	
OG0000056	1.82678e-30	6.56685e-23	
OG0000059	1.28599e-70	1.31938e-42	
OG0000060	9.15755e-39	1.14651e-26	
OG0000061	1.91448e-64	1.56141e-39	
OG0000062	1.43476e-169	1.31058e-103	
OG0000064	3.23326e-59	1.8493e-36	
OG0000066	1.42173e-65	2.98421e-40	
OG0000068	1.81954e-85	1.43781e-50	
OG0000073	3.37651e-31	1.46441e-22	
OG0000077	3.09695e-63	1.26817e-38	
OG0000078	1.41254e-160	2.01094e-98	
OG0000079	7.56445e-64	1.92108e-38	
OG0000082	4.47027e-82	2.56481e-49	
OG0000084	3.05815e-65	1.37943e-41	
OG0000085	1.22702e-40	1.04602e-28	
OG0000088	5.27504e-55	3.10692e-35	
OG0000090	7.04218e-52	3.37909e-34	
OG0000091	3.05047e-50	3.25367e-32	
OG0000093	8.93642e-46	7.48694e-31	
OG0000095	3.38093e-95	6.61831e-59	
OG0000097	6.10676e-27	9.7665e-21	
OG0000098	3.44827e-42	1.56629e-27	
