#Taxon_ID	Increase	Decrease
<20>	366	3270
Lyrho<5>	1634	1704
<13>	145	15
<14>	88	611
<15>	40	510
<16>	60	230
<18>	297	459
Setor<3>	499	4943
Zeins<4>	2637	1751
Erjap<9>	2978	1800
Cechi<6>	458	3909
<19>	1646	238
Artha<11>	2858	3007
Vivin<10>	5213	1803
Poten<7>	3262	2415
<21>	1043	2141
Qumon<8>	1183	4701
Metru<1>	1071	3871
Glmax<2>	6305	613
