FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	0.0741285	0.109349	6.73954e-10	0.774387	6.26479e-07	0.0539368	0.725259	1.34319e-06	2.56251e-05	1.81474e-24	0.000661521	N/A	2.54711e-10	0.245265	0.760832	0.687268	0.500348	0.314663	6.49291e-05	0.00307241	0.558015
OG0000009	1.84223e-05	0.927131	0.0548252	0.481569	9.72183e-20	4.60458e-13	2.17403e-05	0.099898	0.736152	1.16596e-19	0.00271757	N/A	1.70057e-07	0.224035	0.747044	0.674295	0.500314	0.179843	2.84528e-05	0.14134	0.000268321
OG0000010	3.22948e-07	0.369019	0.633685	0.000263463	0.103337	0.569765	0.000136264	4.63487e-08	8.26622e-16	2.93874e-08	0.000145421	N/A	0.000283296	0.744726	0.713997	0.0199806	0.500279	1.17419e-09	8.89084e-11	1.79345e-10	0.937892
OG0000011	8.69277e-13	0.0245773	0.425098	0.379372	0.0178564	0.705685	0.284279	0.00329942	0.208891	7.90139e-11	0.403608	N/A	2.54711e-10	0.78411	0.75414	0.680901	0.500331	0.190824	0.000675388	2.24799e-08	0.0021397
OG0000018	0.679168	0.0036863	0.00035111	0.000337396	3.56836e-21	8.43581e-18	3.03171e-11	2.20653e-07	4.01714e-10	1.03156e-36	0.00935284	N/A	0.00396563	0.734958	0.704384	0.637314	0.500226	0.582121	0.191329	0.352823	0.806769
OG0000026	0.0791263	0.777322	0.000822815	0.591844	0.0972241	6.55271e-08	0.893837	0.0568575	0.000905361	0.109271	0.904448	N/A	0.00396563	0.0650877	0.164782	0.660327	0.500279	1.1697e-06	0.200253	0.0565681	0.706109
OG0000027	3.51121e-08	0.000127674	2.70446e-06	1.15848e-08	0.625287	0.188289	0.106792	0.133018	0.00302638	0.0957689	0.898894	N/A	0.00300124	0.724416	0.694147	0.629044	0.500209	5.69048e-11	0.371579	2.59871e-06	0.00416111
OG0000028	0.731711	0.308002	0.00305999	9.6099e-09	0.526362	0.820831	0.000289757	0.00017403	0.0276879	0.584099	0.00491813	N/A	0.00396563	0.178053	0.713997	0.645276	0.500244	0.000566503	0.90831	0.141285	0.0114849
OG0000030	0.638047	0.000287587	2.58125e-124	0.0202557	0.0123204	0.00385795	0.148264	0.5	0.5	0.230629	0.669549	N/A	0.528772	0.528772	0.522987	0.00667294	0.500035	3.19498e-19	0.000203191	0.760813	0.335759
OG0000031	0.517551	8.69277e-13	0.290739	6.17897e-05	2.29575e-19	4.34101e-10	1.40327e-07	2.85466e-15	1.14409e-09	1.71826e-10	0.038297	N/A	0.0128478	0.657152	0.631738	0.582559	0.500122	0.000254582	1.42555e-11	0.0764543	0.0988125
OG0000032	0.00204113	0.354358	3.53712e-142	0.723509	0.569765	0.103337	0.148264	0.100273	0.567669	0.230629	0.669549	N/A	0.528772	0.528772	0.522987	0.00667294	0.500035	1.48725e-12	5.06425e-08	0.397073	0.736336
OG0000035	0.191692	0.00282373	2.41064e-12	0.0710152	1.1925e-10	1.60675e-13	0.181684	2.07686e-06	0.0032084	0.238943	0.00140214	N/A	0.000987351	0.00300124	0.694147	0.629044	0.500209	0.839632	6.18207e-08	0.588817	0.0544669
OG0000036	0.204357	8.28901e-06	0.00192223	0.0414281	0.121505	0.0062468	0.0150411	5.78418e-06	0.00218087	0.109271	0.904448	N/A	0.00396563	0.178053	0.154847	0.652943	0.500261	0.859752	0.0560616	0.501469	0.937892
OG0000037	0.341876	0.595014	0.0794306	0.0352109	2.88506e-05	1.24397e-06	0.00375381	2.15961e-05	0.00754548	0.00517077	0.349271	N/A	0.00218588	0.153281	0.694147	0.0152004	0.500244	0.00319402	0.0873432	0.920686	0.932808
OG0000038	0.308002	0.567646	0.885298	0.533174	0.283709	0.000217674	0.061696	6.75495e-11	2.64133e-06	6.18764e-10	0.149134	N/A	0.000127895	0.724416	0.694147	0.629044	0.500209	0.109378	0.0036863	0.239947	0.152165
OG0000039	0.638047	0.173717	0.270266	0.102113	1.11181e-14	2.94722e-12	1.58414e-06	1.73667e-11	3.38102e-08	2.73525e-13	0.00491813	N/A	0.140459	0.713024	0.683236	0.620451	0.500192	0.830921	0.872487	0.571512	0.250112
OG0000045	0.146077	0.0953017	0.22485	0.0462106	5.76089e-12	9.55483e-09	0.000172133	0.558609	0.104553	6.28797e-29	0.00408473	N/A	0.0128478	0.657152	0.631738	0.582559	0.500122	0.104301	3.9592e-07	0.205011	0.0375614
OG0000046	0.546062	0.0794004	0.309846	0.00288276	0.109378	0.00484898	0.00375381	0.32075	0.174598	9.51595e-09	0.718097	N/A	0.0431102	0.724416	0.694147	0.0789882	0.500226	0.847215	0.0113695	0.755391	0.932808
OG0000047	0.240086	0.892902	0.00022065	0.895421	1.18748e-07	0.00139742	0.0129531	2.43408e-09	7.12997e-09	1.13742e-12	0.525631	N/A	0.0362506	0.713024	0.683236	0.620451	0.500192	0.830921	0.0281926	0.148974	0.658027
OG0000048	0.888745	0.22453	0.868371	0.34234	7.69263e-07	2.23524e-06	0.00191332	3.60694e-05	0.00160774	1.52103e-07	1.0833e-06	N/A	0.700698	0.700698	0.671599	0.611522	0.500174	0.306804	0.100445	0.551863	0.0811447
