Family ID	0.156182	0.395483	0.654672	0.975834	1.4371	2.38073	
OG0000007	1.19699e-226	1.41678e-174	7.04355e-148	5.42036e-128	4.15756e-110	2.36613e-89	
OG0000009	5.17301e-241	9.51157e-183	5.17862e-153	6.08942e-131	3.68925e-111	2.82609e-88	
OG0000010	2.5636e-222	4.94085e-171	1.52918e-144	1.03673e-124	7.9746e-107	4.42118e-86	
OG0000011	3.11088e-170	2.31904e-128	6.03502e-107	4.28031e-91	5.13284e-77	4.27047e-61	
OG0000018	1.60957e-296	5.10185e-232	2.98649e-198	1.51688e-172	7.8385e-149	2.77502e-120	
OG0000026	2.11166e-82	1.89081e-62	1.21991e-52	1.19437e-45	1.07531e-39	2.32568e-33	
OG0000027	2.66825e-145	6.25084e-107	1.4234e-87	1.88266e-73	3.86921e-61	1.19256e-47	
OG0000028	1.08661e-100	2.46776e-76	1.86942e-64	4.6609e-56	5.73749e-49	1.80356e-41	
OG0000030	1.69113e-313	1.78236e-242	8.38393e-205	9.92403e-176	1.64446e-148	3.38096e-115	
OG0000031	5.17812e-249	1.07209e-192	7.51226e-163	5.67511e-140	8.21573e-119	1.78944e-93	
OG0000032	0	1.40719e-253	1.66767e-215	5.09276e-186	2.74006e-158	4.43729e-124	
OG0000035	3.95166e-156	2.46226e-121	3.23566e-103	1.73831e-89	6.13075e-77	4.2042e-62	
OG0000036	2.3382e-86	6.22962e-65	2.66774e-54	1.08665e-46	3.27913e-40	2.22442e-33	
OG0000037	2.75403e-90	3.05312e-69	1.51305e-58	1.16798e-50	1.11639e-43	7.60746e-36	
OG0000038	4.49343e-118	6.58099e-91	5.61445e-77	1.21841e-66	2.09072e-57	8.42595e-47	
OG0000039	2.92017e-180	1.57194e-141	1.94943e-121	2.87542e-106	2.1553e-92	7.09366e-76	
OG0000045	3.58412e-188	6.92875e-147	2.51946e-125	5.38825e-109	4.79394e-94	2.82003e-76	
OG0000046	5.12164e-80	1.56941e-60	4.99371e-51	2.61551e-44	1.22796e-38	1.19985e-32	
OG0000047	1.45429e-131	1.49251e-101	4.45441e-86	1.62984e-74	4.06224e-64	3.79197e-52	
OG0000048	5.60927e-131	4.41702e-104	2.34327e-90	3.42886e-80	4.19966e-71	1.26074e-60	
OG0000049	5.97527e-278	1.84343e-217	2.7427e-185	2.28109e-160	6.53511e-137	6.41844e-108	
OG0000050	1.2893e-127	2.06421e-94	1.5191e-77	3.82754e-65	3.18874e-54	4.41492e-42	
OG0000051	2.01465e-125	5.38932e-97	2.71351e-82	2.75352e-71	2.15185e-61	4.93666e-50	
OG0000053	4.3179e-108	4.64012e-83	2.33279e-70	4.78911e-61	7.12282e-53	8.35541e-44	
