#FamilyID	pvalue	Significant at 0.05
OG0000534	0	y
OG0000545	0	y
OG0000546	0.001	y
OG0000547	0	y
OG0000548	0	y
OG0000549	0.002	y
OG0000550	0	y
OG0000551	0	y
OG0000552	0	y
OG0000553	0.007	y
OG0000554	0	y
OG0000555	0	y
OG0000556	0	y
OG0000557	0	y
OG0000558	0	y
OG0000559	0	y
OG0000560	0	y
OG0000561	0	y
OG0000562	0	y
OG0000563	0	y
OG0000570	0.006	y
OG0000571	0	y
OG0000572	0	y
OG0000573	0	y
OG0000574	0.001	y
OG0000575	0.009	y
OG0000576	0.056	n
OG0000577	0	y
OG0000578	0.001	y
OG0000579	0.037	y
OG0000580	0	y
OG0000581	0	y
OG0000582	0	y
OG0000585	0	y
OG0000586	0	y
OG0000587	0	y
OG0000588	0	y
OG0000589	0	y
OG0000590	0.003	y
OG0000591	0	y
OG0000592	0	y
OG0000593	0.244	n
OG0000594	0	y
OG0000595	0.005	y
OG0000596	0	y
OG0000597	0	y
OG0000598	0	y
OG0000599	0.001	y
OG0000600	0	y
OG0000612	0.001	y
OG0000613	0	y
OG0000614	0.006	y
OG0000615	0	y
OG0000616	0	y
OG0000617	0.001	y
OG0000618	0	y
OG0000619	0.001	y
OG0000620	0	y
OG0000621	0.001	y
OG0000622	0.148	n
OG0000623	0.001	y
OG0000624	0	y
OG0000625	0	y
OG0000626	0	y
OG0000627	0	y
OG0000628	0	y
OG0000629	0	y
OG0000630	0.001	y
OG0000631	0.002	y
OG0000632	0	y
OG0000633	0	y
OG0000634	0	y
OG0000635	0	y
OG0000636	0	y
OG0000637	0	y
OG0000638	0	y
OG0000639	0	y
OG0000640	0	y
OG0000650	0	y
OG0000651	0.002	y
OG0000652	0.152	n
OG0000653	0.003	y
OG0000654	0	y
OG0000655	0	y
OG0000656	0.012	y
OG0000657	0.006	y
OG0000658	0.002	y
OG0000659	0.001	y
OG0000660	0	y
OG0000661	0	y
OG0000662	0	y
OG0000663	0	y
OG0000673	0.012	y
OG0000674	0	y
OG0000675	0.001	y
OG0000676	0	y
OG0000677	0	y
OG0000678	0	y
OG0000679	0.001	y
OG0000680	0	y
OG0000681	0.059	n
OG0000682	0	y
OG0000683	0.167	n
OG0000684	0.003	y
OG0000685	0.006	y
OG0000686	0.001	y
OG0000687	0.034	y
OG0000688	0	y
OG0000689	0.007	y
OG0000690	0.015	y
OG0000691	0.013	y
OG0000692	0	y
OG0000693	0	y
OG0000694	0	y
OG0000695	0	y
OG0000696	0	y
OG0000697	0	y
OG0000698	0	y
OG0000699	0	y
OG0000700	0.001	y
OG0000701	0.008	y
OG0000702	0	y
OG0000703	0	y
OG0000714	0	y
OG0000715	0	y
OG0000716	0	y
OG0000718	0.001	y
OG0000719	0	y
OG0000720	0.001	y
OG0000721	0	y
OG0000722	0	y
OG0000723	0	y
OG0000724	0.001	y
OG0000725	0	y
OG0000726	0	y
OG0000727	0.103	n
OG0000728	0	y
OG0000729	0	y
OG0000730	0.001	y
OG0000731	0.001	y
OG0000732	0.002	y
OG0000733	0.001	y
OG0000734	0	y
OG0000735	0	y
OG0000736	0	y
OG0000737	0	y
OG0000738	0.002	y
OG0000739	0.001	y
OG0000740	0	y
OG0000741	0	y
OG0000742	0.004	y
OG0000743	0	y
OG0000744	0	y
OG0000745	0.002	y
OG0000746	0	y
OG0000747	0	y
OG0000748	0	y
OG0000749	0	y
OG0000750	0.001	y
OG0000751	0	y
OG0000752	0	y
OG0000753	0.001	y
OG0000763	0	y
OG0000764	0.001	y
OG0000765	0	y
OG0000766	0.008	y
OG0000767	0.034	y
OG0000768	0.001	y
OG0000769	0	y
OG0000770	0	y
OG0000771	0.001	y
OG0000772	0.001	y
OG0000773	0	y
OG0000774	0	y
OG0000775	0.002	y
OG0000776	0.044	y
OG0000777	0.001	y
OG0000778	0.033	y
OG0000779	0.012	y
OG0000780	0.004	y
OG0000781	0	y
OG0000782	0	y
OG0000783	0	y
OG0000784	0	y
OG0000785	0	y
OG0000786	0.002	y
OG0000794	0	y
OG0000795	0.433	n
OG0000796	0	y
OG0000797	0	y
OG0000798	0	y
OG0000799	0	y
OG0000800	0.001	y
OG0000801	0	y
OG0000802	0.002	y
OG0000803	0.002	y
OG0000804	0	y
OG0000805	0	y
OG0000806	0	y
OG0000807	0	y
OG0000808	0	y
