FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	0.111448	0.262147	1.91744e-12	0.757909	1.68139e-09	0.120968	0.689325	4.25072e-08	1.68846e-06	2.85601e-44	4.72458e-19	N/A	8.41658e-17	0.635002	0.72791	0.642934	0.782979	0.851724	2.11106e-06	0.00172429	0.470134
OG0000009	4.13841e-08	0.899581	0.0405981	0.449588	8.58292e-25	4.34444e-14	3.65559e-06	0.0121765	0.884679	2.32425e-35	0.0209671	N/A	1.41118e-24	0.624315	0.714093	0.631822	0.769618	0.113747	2.84825e-07	0.173702	2.64231e-05
OG0000010	7.0956e-09	0.643685	0.495953	0.103564	0.0734107	0.549368	0.00148207	3.67557e-11	8.2985e-17	1.54423e-18	1.64464e-21	N/A	0.00473298	0.588925	0.663496	0.594758	2.71916e-11	7.69098e-08	9.20125e-14	3.8164e-09	0.916827
OG0000011	2.4505e-20	0.0347403	0.193796	0.607484	0.00863444	0.658786	0.227225	8.77885e-05	0.313053	3.66334e-21	0.522052	N/A	2.47715e-19	0.629724	0.721167	0.63745	0.233748	0.130356	0.0020515	1.73836e-10	0.000702335
OG0000018	0.570133	0.000312285	0.000176375	0.000156129	1.75219e-26	5.16542e-19	1.31958e-12	7.28945e-09	1.66408e-11	1.62414e-65	1.37484e-12	N/A	0.000127971	0.595193	0.673019	0.601352	0.727005	0.501724	0.091132	0.528637	0.920226
OG0000026	0.0203424	0.699837	0.00168706	0.744726	0.115397	3.43607e-09	0.440092	0.0248361	0.000155946	0.006437	0.527334	N/A	0.000127971	0.595193	0.0300953	0.614024	0.0095313	1.48871e-06	0.237975	0.0560491	0.920226
OG0000027	1.31851e-12	8.47707e-06	9.89454e-08	2.82281e-10	0.59155	0.137449	0.071059	0.223061	6.7992e-05	0.00506468	0.524704	N/A	9.38977e-05	0.588925	0.663496	0.594758	0.157184	1.49055e-10	0.220821	9.25458e-08	0.00121952
OG0000028	0.639044	0.174238	0.000335475	1.93279e-09	0.44126	0.775539	7.64246e-05	3.94993e-06	0.0372718	0.308914	8.39925e-15	N/A	0.000127971	0.595193	0.114966	0.607772	0.736772	0.000791896	0.424768	0.0485353	0.00173533
OG0000030	0.805525	0.000190635	4.81244e-142	0.182274	6.48058e-05	0.0734107	0.120026	0.5	0.5	0.0819688	0.502839	N/A	0.508493	0.508493	0.518032	0.509142	0.527157	7.20243e-18	0.00521008	0.628457	0.259384
OG0000031	0.699837	4.55555e-19	0.602042	0.000248579	5.33163e-26	4.16716e-09	3.70416e-07	2.50401e-21	2.20256e-08	2.6232e-20	0.505655	N/A	1.30482e-08	0.547838	0.594752	0.551248	0.633717	2.92852e-05	5.89793e-16	0.11036	0.111185
OG0000032	0.00290462	0.61234	3.05854e-164	0.70461	0.549368	0.0734107	0.120026	0.0689383	0.546334	0.0819688	0.502839	N/A	0.508493	0.508493	0.518032	0.509142	0.0137575	9.15135e-07	1.23429e-05	0.628457	0.679552
OG0000035	0.229504	0.000896197	2.73688e-14	0.106459	1.48997e-12	3.11381e-15	0.136057	5.12315e-09	0.00364569	0.25313	0.00848226	N/A	1.24094e-16	0.0424729	0.0980716	0.594758	0.157184	0.8075	4.01617e-10	0.511161	0.0157339
