FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000116	-2	2	1	-1	0	-2	0	1	0	21	-4	0	2	0	0	0	0	0	0	-4	5
OG0000122	-3	0	2	0	-3	1	-4	-2	3	24	-1	0	1	0	0	0	0	0	-1	-1	1
OG0000124	-2	10	0	2	0	0	7	-2	2	2	-2	0	1	0	2	0	0	0	2	-6	1
OG0000125	2	2	1	0	-4	0	1	0	0	-3	12	0	0	0	0	0	0	3	5	-3	0
OG0000126	0	0	0	7	2	-5	-6	2	-1	41	0	0	0	0	-3	0	0	0	-4	-1	2
OG0000129	-1	2	0	-1	0	-2	3	-2	2	2	1	0	0	0	1	-1	0	0	2	-1	2
OG0000130	38	-6	-1	12	2	-3	-3	-1	0	-1	0	0	0	0	1	5	0	2	5	0	-1
OG0000134	0	-1	-1	3	13	-8	-4	6	-4	24	0	0	0	0	-1	0	0	-1	-1	1	1
OG0000136	-1	4	-1	-1	-1	0	1	-2	3	11	0	0	1	0	0	0	0	0	1	-4	1
OG0000137	4	1	-4	-4	-4	1	2	-3	3	5	5	0	0	0	0	-1	0	0	6	-2	0
OG0000138	0	6	-1	-6	1	-1	1	4	-2	8	0	0	0	0	0	0	0	0	4	-1	1
OG0000139	-1	4	1	-1	0	-1	-3	4	-1	24	-3	0	1	0	-1	0	0	2	1	-2	5
OG0000140	3	2	-3	-1	0	-4	6	-1	0	10	-2	0	1	0	0	0	0	0	9	-1	-4
OG0000141	21	-3	-5	3	6	-4	-1	0	-1	11	-3	0	2	0	0	0	0	0	3	1	-1
OG0000145	0	0	0	-1	0	0	-1	0	0	-1	97	0	-3	0	0	0	0	0	-1	-1	-1
OG0000146	-2	10	-1	-3	-2	0	1	-1	2	0	8	0	0	0	0	0	0	0	2	-2	1
OG0000147	-3	11	0	0	0	-4	2	-4	2	1	2	0	0	0	0	0	0	0	2	-3	-1
OG0000153	-3	1	-1	-1	3	-1	2	0	0	53	-2	0	1	0	0	0	0	0	-1	1	-3
OG0000154	-3	7	-4	0	1	-2	3	-1	0	2	4	0	0	0	0	0	0	0	0	-1	-3
OG0000155	2	1	-2	3	-3	1	0	2	-4	-2	6	0	0	0	0	0	0	1	7	0	0
OG0000156	-3	7	-3	1	1	-2	1	-3	2	2	2	0	0	0	1	0	0	0	1	-1	-1
OG0000158	4	0	1	-2	8	-7	-2	2	-2	4	-3	0	2	0	0	0	0	3	4	0	1
OG0000159	3	-2	13	2	3	-5	-5	-1	0	6	-2	0	1	0	1	3	0	4	0	0	-3
OG0000160	0	6	-5	3	16	-3	-3	-2	2	0	-2	0	0	0	1	2	0	0	3	8	0
OG0000161	3	-1	-1	-2	2	0	-1	0	-2	21	-4	0	2	0	1	0	0	0	2	1	-3
OG0000162	24	-3	-3	-1	0	-1	-2	6	-4	6	4	0	0	0	-4	0	0	0	5	-1	1
OG0000163	1	2	-3	2	-4	0	-1	11	-7	11	-1	0	0	0	0	0	0	0	4	-1	1
OG0000164	7	-5	15	-1	-2	0	-5	2	-4	0	7	0	0	0	0	0	0	5	0	-3	-2
OG0000165	-3	5	-4	-1	1	-1	2	1	-2	4	7	0	0	0	0	-1	0	0	0	0	-3
OG0000166	5	-1	-3	4	4	-5	-2	0	0	8	-2	0	1	0	0	0	0	0	2	0	4
OG0000167	3	0	0	-4	0	0	0	-1	2	19	-4	0	2	0	0	0	0	0	2	0	1
OG0000172	-1	2	-4	0	-2	2	-1	3	-3	7	0	0	0	0	0	0	0	0	1	0	0
OG0000173	0	3	1	-3	7	-4	-1	7	-5	0	-2	0	1	0	0	0	0	2	2	1	1
OG0000176	19	-3	0	1	0	-3	-6	4	-7	2	8	0	0	0	0	0	0	0	4	-4	0
OG0000177	2	-2	-3	3	3	-7	-2	3	-3	2	4	0	0	0	-1	0	0	0	0	-1	1
OG0000179	1	2	-6	-1	0	0	3	-3	2	6	1	0	0	0	0	0	0	0	4	-5	0
