#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000047	1.07958	1.91222e-63	1.99502e-47	9.58492e-17	N/S
OG0000047	2.2176	1.99502e-47	1.99502e-47	1	*
OG0000048	0.165312	3.38744e-101	9.57143e-41	3.53911e-61	N/S
OG0000048	0.537509	3.20138e-69	9.57143e-41	3.34473e-29	N/S
OG0000048	1.07958	2.20091e-53	9.57143e-41	2.29946e-13	N/S
OG0000048	2.2176	9.57143e-41	9.57143e-41	1	*
OG0000049	0.165312	4.67623e-249	4.6419e-93	1.0074e-156	N/S
OG0000049	0.537509	5.27261e-174	4.6419e-93	1.13587e-81	N/S
OG0000049	1.07958	3.29907e-132	4.6419e-93	7.10717e-40	N/S
OG0000049	2.2176	4.6419e-93	4.6419e-93	1	*
OG0000050	0.165312	5.52726e-113	7.01188e-37	7.8827e-77	N/S
OG0000050	0.537509	7.86314e-73	7.01188e-37	1.1214e-36	N/S
OG0000050	1.07958	9.33717e-53	7.01188e-37	1.33162e-16	N/S
OG0000050	2.2176	7.01188e-37	7.01188e-37	1	*
OG0000051	0.165312	4.89688e-114	1.96964e-45	2.48618e-69	N/S
OG0000051	0.537509	4.40098e-79	1.96964e-45	2.23441e-34	N/S
OG0000051	1.07958	8.17249e-61	1.96964e-45	4.14923e-16	N/S
OG0000051	2.2176	1.96964e-45	1.96964e-45	1	*
OG0000053	0.165312	3.24074e-98	1.20557e-41	2.68815e-57	N/S
OG0000053	0.537509	1.40206e-68	1.20557e-41	1.16299e-27	N/S
OG0000053	1.07958	6.91573e-54	1.20557e-41	5.7365e-13	N/S
OG0000053	2.2176	1.20557e-41	1.20557e-41	1	*
OG0000055	0.165312	2.62175e-123	4.55593e-51	5.75458e-73	N/S
OG0000055	0.537509	1.51592e-86	4.55593e-51	3.32736e-36	N/S
OG0000055	1.07958	1.81797e-67	4.55593e-51	3.99033e-17	N/S
OG0000055	2.2176	4.55593e-51	4.55593e-51	1	*
OG0000056	0.165312	8.49442e-43	6.4706e-22	1.31277e-21	N/S
OG0000056	0.537509	9.30603e-30	6.4706e-22	1.4382e-08	N/S
OG0000056	1.07958	6.32462e-25	6.4706e-22	0.000977439	N/S
OG0000056	2.2176	6.46428e-22	6.4706e-22	0.999023	*
OG0000059	0.165312	8.07882e-117	1.16539e-43	6.9323e-74	N/S
OG0000059	0.537509	1.02718e-78	1.16539e-43	8.81404e-36	N/S
OG0000059	1.07958	2.70266e-59	1.16539e-43	2.31911e-16	N/S
OG0000059	2.2176	1.16539e-43	1.16539e-43	1	*
OG0000060	0.165312	3.96184e-57	4.12467e-25	9.60523e-33	N/S
OG0000060	0.537509	7.72758e-39	4.12467e-25	1.87351e-14	N/S
OG0000060	1.07958	1.13204e-30	4.12467e-25	2.74455e-06	N/S
OG0000060	2.2176	4.12465e-25	4.12467e-25	0.999997	*
OG0000061	0.165312	2.82964e-100	6.11366e-38	4.62838e-63	N/S
OG0000061	0.537509	2.39279e-67	6.11366e-38	3.91384e-30	N/S
OG0000061	1.07958	5.82886e-51	6.11366e-38	9.53415e-14	N/S
OG0000061	2.2176	6.11366e-38	6.11366e-38	1	*
OG0000062	0.165312	1.41846e-246	3.61062e-94	3.92857e-153	N/S
OG0000062	0.537509	3.13435e-175	3.61062e-94	8.68093e-82	N/S
OG0000062	1.07958	9.99693e-134	3.61062e-94	2.76876e-40	N/S
OG0000062	2.2176	3.61062e-94	3.61062e-94	1	*
OG0000064	0.165312	8.16881e-97	2.4061e-37	3.39505e-60	N/S
OG0000064	0.537509	7.07166e-66	2.4061e-37	2.93906e-29	N/S
OG0000064	1.07958	3.66553e-50	2.4061e-37	1.52343e-13	N/S
OG0000064	2.2176	2.4061e-37	2.4061e-37	1	*
OG0000066	0.165312	5.04681e-104	4.57227e-40	1.10379e-64	N/S
OG0000066	0.537509	9.48049e-71	4.57227e-40	2.07348e-31	N/S
OG0000066	1.07958	7.76036e-54	4.57227e-40	1.69727e-14	N/S
OG0000066	2.2176	4.57227e-40	4.57227e-40	1	*
OG0000068	0.165312	4.18653e-141	2.37584e-53	1.76213e-88	N/S
OG0000068	0.537509	2.12602e-97	2.37584e-53	8.9485e-45	N/S
OG0000068	1.07958	6.33084e-74	2.37584e-53	2.66468e-21	N/S
OG0000068	2.2176	2.37584e-53	2.37584e-53	1	*
OG0000073	0.165312	1.22371e-49	2.83861e-24	4.31095e-26	N/S
OG0000073	0.537509	3.64817e-35	2.83861e-24	1.2852e-11	N/S
OG0000073	1.07958	8.95108e-29	2.83861e-24	3.15333e-05	N/S
OG0000073	2.2176	2.83852e-24	2.83861e-24	0.999968	*
OG0000077	0.165312	3.14378e-100	3.04057e-38	1.03394e-62	N/S
OG0000077	0.537509	9.32893e-68	3.04057e-38	3.06815e-30	N/S
OG0000077	1.07958	1.96533e-51	3.04057e-38	6.46368e-14	N/S
OG0000077	2.2176	3.04057e-38	3.04057e-38	1	*
OG0000078	0.165312	1.36262e-245	1.66792e-98	8.16957e-148	N/S
OG0000078	0.537509	8.65597e-177	1.66792e-98	5.18968e-79	N/S
OG0000078	1.07958	7.72045e-137	1.66792e-98	4.62878e-39	N/S
OG0000078	2.2176	1.66792e-98	1.66792e-98	1	*
OG0000079	0.165312	8.76061e-107	6.11647e-41	1.4323e-66	N/S
OG0000079	0.537509	1.04096e-72	6.11647e-41	1.7019e-32	N/S
OG0000079	1.07958	2.30128e-55	6.11647e-41	3.76244e-15	N/S
OG0000079	2.2176	6.11647e-41	6.11647e-41	1	*
OG0000082	0.165312	8.87592e-132	9.90013e-50	8.96546e-83	N/S
OG0000082	0.537509	1.45644e-90	9.90013e-50	1.47114e-41	N/S
OG0000082	1.07958	1.25816e-68	9.90013e-50	1.27085e-19	N/S
OG0000082	2.2176	9.90013e-50	9.90013e-50	1	*
OG0000084	0.165312	1.25951e-100	1.18014e-40	1.06725e-60	N/S
OG0000084	0.537509	3.4246e-69	1.18014e-40	2.90185e-29	N/S
OG0000084	1.07958	1.84603e-53	1.18014e-40	1.56424e-13	N/S
OG0000084	2.2176	1.18014e-40	1.18014e-40	1	*
OG0000085	0.165312	7.03369e-62	7.58556e-30	9.27248e-33	N/S
OG0000085	0.537509	1.63834e-44	7.58556e-30	2.15981e-15	N/S
OG0000085	1.07958	2.98447e-36	7.58556e-30	3.9344e-07	N/S
OG0000085	2.2176	7.58556e-30	7.58556e-30	1	*
OG0000088	0.165312	1.34017e-87	7.21153e-36	1.85838e-52	N/S
OG0000088	0.537509	2.62149e-60	7.21153e-36	3.63514e-25	N/S
OG0000088	1.07958	1.12929e-46	7.21153e-36	1.56594e-11	N/S
OG0000088	2.2176	7.21153e-36	7.21153e-36	1	*
OG0000090	0.165312	7.58289e-85	6.15884e-37	1.23122e-48	N/S
OG0000090	0.537509	2.44375e-59	6.15884e-37	3.96788e-23	N/S
OG0000090	1.07958	8.10799e-47	6.15884e-37	1.31648e-10	N/S
OG0000090	2.2176	6.15884e-37	6.15884e-37	1	*
OG0000091	0.165312	8.11335e-80	4.21536e-33	1.92471e-47	N/S
OG0000091	0.537509	4.48403e-55	4.21536e-33	1.06374e-22	N/S
OG0000091	1.07958	8.14842e-43	4.21536e-33	1.93303e-10	N/S
OG0000091	2.2176	4.21536e-33	4.21536e-33	1	*
OG0000093	0.165312	2.40345e-71	8.05303e-32	2.98453e-40	N/S
OG0000093	0.537509	3.19349e-50	8.05303e-32	3.96558e-19	N/S
OG0000093	1.07958	5.4552e-40	8.05303e-32	6.7741e-09	N/S
OG0000093	2.2176	8.05303e-32	8.05303e-32	1	*
OG0000095	0.165312	1.33717e-154	2.45119e-64	5.4552e-91	N/S
OG0000095	0.537509	1.25622e-110	2.45119e-64	5.12495e-47	N/S
OG0000095	1.07958	1.98766e-86	2.45119e-64	8.10896e-23	N/S
OG0000095	2.2176	2.45119e-64	2.45119e-64	1	*
OG0000097	0.165312	7.8931e-38	6.21044e-21	1.27094e-17	N/S
OG0000097	0.537509	1.07262e-27	6.21044e-21	1.72713e-07	N/S
OG0000097	1.07958	1.18429e-23	6.21044e-21	0.00190694	N/S
OG0000097	2.2176	6.1986e-21	6.21044e-21	0.998093	*
OG0000098	0.165312	7.14188e-67	2.67881e-28	2.66607e-39	N/S
OG0000098	0.537509	1.05445e-45	2.67881e-28	3.93626e-18	N/S
OG0000098	1.07958	1.12758e-35	2.67881e-28	4.20926e-08	N/S
OG0000098	2.2176	2.67881e-28	2.67881e-28	1	*
OG0000099	0.165312	1.77548e-123	1.41552e-45	1.25429e-78	N/S
OG0000099	0.537509	5.34908e-84	1.41552e-45	3.77887e-39	N/S
OG0000099	1.07958	3.09898e-63	1.41552e-45	2.18928e-18	N/S
OG0000099	2.2176	1.41552e-45	1.41552e-45	1	*
OG0000101	0.165312	1.34281e-79	1.98393e-31	6.76844e-49	N/S
OG0000101	0.537509	2.51152e-54	1.98393e-31	1.26593e-23	N/S
OG0000101	1.07958	1.11714e-41	1.98393e-31	5.63094e-11	N/S
OG0000101	2.2176	1.98393e-31	1.98393e-31	1	*
