#Taxon_ID	Increase	Decrease
<20>	236	3008
Lyrho<5>	1562	1711
<13>	116	15
<14>	40	148
<15>	309	1083
<16>	84	456
<17>	1	0
<18>	185	298
Setor<3>	574	4893
Zeins<4>	2678	1671
Erjap<9>	3065	1751
Cechi<6>	435	3932
<19>	1447	219
Artha<11>	2685	2723
Vivin<10>	5101	1523
Poten<7>	3367	2630
<21>	882	2589
Qumon<8>	1164	4464
Metru<1>	1076	3638
Glmax<2>	6360	563
