#Taxon_ID	Increase	Decrease
<20>	173	2508
Lyrho<5>	2004	1614
<13>	291	612
<14>	434	187
<15>	3	118
<16>	625	1482
<17>	315	138
<18>	284	155
Setor<3>	699	4290
Zeins<4>	3183	1144
Erjap<9>	3549	1480
Cechi<6>	593	3528
<19>	1151	173
Artha<11>	3727	2959
Vivin<10>	6471	1909
Poten<7>	2968	1221
<21>	739	2116
Qumon<8>	1356	3816
Metru<1>	1513	2953
Glmax<2>	6911	447
