FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000053	0.177083	3.82755e-13	0.848775	5.23636e-06	1.65435e-16	3.93949e-13	8.82295e-13	0.000186125	0.0142832	0.806655	0.109011	N/A	0.0145001	0.0297248	0.520497	0.154625	0.360682	0.757539	0.163859	0.879588	0.646745
OG0000055	2.48829e-08	0.0102747	0.0660601	0.0284231	1.6072e-05	0.023328	0.0336558	4.74453e-06	0.0268573	3.61931e-19	0.00889984	N/A	0.222111	0.785753	0.513325	0.0397845	0.661159	0.69842	0.665902	0.186095	0.106587
OG0000056	0.000182193	0.0152708	0.42658	0.000139084	0.363515	0.172492	0.000235099	0.694753	1.38634e-05	0.549385	0.0430746	N/A	0.0961891	0.00352261	0.520497	0.154625	0.728982	0.0945635	0.0811176	0.068921	0.875563
OG0000059	3.26111e-29	0.0811176	0.542415	0.355483	6.97696e-05	7.19152e-09	0.535719	0.0301134	0.0301134	8.69165e-09	4.93878e-06	N/A	0.400749	0.365336	0.507469	0.0344271	0.661159	0.0415217	1.60204e-05	0.834428	0.0440055
OG0000060	0.744865	2.66289e-11	0.617258	0.233786	0.0116237	0.00471301	4.31764e-14	0.00047862	0.0227777	0.669124	0.00889984	N/A	0.0961891	0.00352261	0.520497	0.517383	0.739534	0.779014	0.744865	0.325818	0.0168625
OG0000061	9.33916e-25	0.123159	0.42658	0.00326064	0.000267117	2.75154e-08	0.535719	0.00020149	4.78921e-05	8.30826e-06	0.0808574	N/A	0.709387	0.709387	0.507469	0.0027312	0.000144898	0.0945635	0.000103973	0.579002	0.770753
OG0000062	1.57095e-186	0.00756146	0.121216	0.61568	0.0590924	0.0202107	0.50747	0.519894	0.0297402	0.0135024	0.724697	N/A	0.558571	0.558571	0.501507	0.549164	0.529741	0.539668	1.52575e-08	0.606052	0.588679
OG0000064	0.0152708	1.3457e-06	0.0204689	0.38731	3.17837e-05	0.337149	0.029934	2.07145e-19	0.000344615	1.24359e-07	0.330168	N/A	0.00445982	0.770884	0.511871	0.746003	0.67708	0.155105	1.30002e-07	0.847288	0.316076
OG0000066	0.000455536	4.68246e-06	0.00225819	0.114766	0.159712	0.605641	0.542395	3.21823e-17	0.00426034	3.18972e-09	0.00551733	N/A	0.753567	0.400749	0.508943	0.708242	0.0893682	0.13716	1.53934e-14	0.0154283	0.253689
OG0000068	6.77686e-33	0.000591465	0.801214	0.355483	1.17324e-11	0.0215778	0.000286701	0.0793969	1.19129e-06	1.28189e-15	0.275242	N/A	0.118659	0.709387	0.507469	0.0344271	0.661159	0.69842	0.665902	0.331878	0.0138344
