Orthogroup	Artha	Cechi	Erjap	Glmax	Lyrho	Metru	Poten	Qumon	Setor	Vivin	Zeins	Total
OG0000104	0	0	0	0	0	0	0	120	0	0	0	120
OG0000105	3	3	1	9	8	18	0	60	9	7	1	119
OG0000106	0	1	1	98	13	2	0	2	2	0	0	119
OG0000107	0	0	0	0	0	0	0	118	0	0	0	118
OG0000108	5	4	4	22	11	6	12	8	7	26	12	117
OG0000109	3	6	3	14	36	14	5	7	7	12	10	117
OG0000110	7	1	8	11	9	20	7	11	4	29	10	117
OG0000111	1	5	8	7	21	24	0	10	16	20	5	117
OG0000112	0	0	117	0	0	0	0	0	0	0	0	117
OG0000113	0	0	10	10	10	34	4	5	12	26	6	117
OG0000114	0	0	0	0	0	0	1	5	111	0	0	117
OG0000115	33	8	5	6	7	13	4	13	2	19	6	116
OG0000116	3	3	14	11	5	7	9	15	10	30	8	115
OG0000117	0	4	0	26	7	61	2	0	6	2	7	115
OG0000118	0	0	115	0	0	0	0	0	0	0	0	115
OG0000119	0	6	3	8	20	11	4	16	9	24	13	114
OG0000120	0	0	13	0	4	0	0	5	92	0	0	114
OG0000121	0	0	0	0	0	0	113	1	0	0	0	114
OG0000122	7	9	13	8	5	5	5	8	11	33	9	113
OG0000123	0	0	0	112	0	0	0	0	1	0	0	113
OG0000124	5	4	11	22	4	10	17	7	10	10	12	112
OG0000125	20	5	8	18	1	18	9	8	12	5	8	112
OG0000126	9	0	10	2	7	2	0	13	6	50	13	112
OG0000127	0	0	111	0	0	0	0	0	0	0	0	111
OG0000128	0	0	0	0	0	0	0	0	0	111	0	111
OG0000129	10	6	13	13	8	10	13	9	9	11	8	110
OG0000130	2	5	1	9	10	53	0	0	9	1	20	110
OG0000131	0	6	1	9	19	44	2	5	20	0	4	110
OG0000132	0	0	0	0	0	1	0	108	1	0	0	110
OG0000133	0	0	109	0	0	0	0	0	0	0	0	109
OG0000134	8	0	5	4	21	5	3	15	5	32	10	108
OG0000135	0	0	108	0	0	0	0	0	0	0	0	108
OG0000136	8	5	13	14	4	9	10	8	8	20	8	107
OG0000137	14	7	12	15	2	18	11	6	4	14	4	107
OG0000138	8	6	7	18	8	12	9	13	7	16	2	106
OG0000139	3	3	11	13	4	8	3	16	9	31	5	106
OG0000140	5	3	4	19	7	20	14	3	5	18	7	105
OG0000141	2	4	5	7	14	31	6	6	2	18	10	105
OG0000142	0	0	105	0	0	0	0	0	0	0	0	105
OG0000143	0	0	0	0	0	0	0	0	104	0	0	104
OG0000144	0	0	103	0	0	0	0	0	0	0	0	103
OG0000145	101	0	0	0	0	0	0	0	1	0	0	102
OG0000146	16	6	11	20	4	8	9	8	7	8	5	102
OG0000147	11	2	10	22	6	8	11	4	9	10	9	102
OG0000148	0	0	10	8	1	21	6	7	0	45	4	102
OG0000149	0	13	2	12	6	14	0	11	10	27	6	101
OG0000150	0	0	101	0	0	0	0	0	0	0	0	101
OG0000151	0	0	0	2	0	4	0	0	92	2	1	101
OG0000152	0	7	0	0	77	1	0	1	13	1	0	100
OG0000153	2	5	2	5	9	1	7	2	4	58	4	99
OG0000154	13	6	6	16	9	6	12	5	5	11	9	98
OG0000155	13	8	3	16	4	17	7	9	6	5	10	98
OG0000156	10	6	9	17	9	7	10	4	6	10	10	98
OG0000157	0	0	98	0	0	0	0	0	0	0	0	98
OG0000158	2	0	6	14	15	18	5	10	11	11	5	97
OG0000159	2	4	2	11	12	16	1	1	26	11	11	97
OG0000160	2	12	6	16	31	10	2	2	2	4	10	97
OG0000161	1	9	2	9	11	13	7	4	7	28	6	97
OG0000162	12	2	5	6	3	33	2	15	1	14	3	96
OG0000163	6	6	1	13	2	12	6	19	4	18	9	96
OG0000164	14	4	1	7	2	19	2	7	27	7	6	96
OG0000165	16	7	4	13	9	5	11	7	4	13	7	96
OG0000166	4	2	11	8	11	14	5	11	4	15	11	96
OG0000167	1	7	10	9	7	12	7	7	7	26	3	96
OG0000168	0	0	0	0	0	96	0	0	0	0	0	96
OG0000169	0	0	0	0	87	1	0	0	3	4	0	95
OG0000170	0	0	0	0	0	0	0	95	0	0	0	95
OG0000171	0	0	0	0	0	0	0	0	95	0	0	95
OG0000172	8	10	5	11	6	8	7	11	4	15	8	93
OG0000173	4	4	3	14	15	11	6	15	10	7	4	93
OG0000174	0	0	93	0	0	0	0	0	0	0	0	93
OG0000175	0	0	0	0	0	93	0	0	0	0	0	93
OG0000176	15	0	0	8	3	30	1	11	7	9	8	92
OG0000177	13	0	7	6	10	10	6	13	5	11	11	92
OG0000178	0	11	2	15	4	20	4	7	4	17	8	92
OG0000179	9	3	10	14	3	13	11	5	2	14	7	91
OG0000180	11	4	8	13	8	8	8	7	7	8	9	91
OG0000181	6	5	6	12	8	27	3	2	6	10	6	91
OG0000182	2	8	4	9	14	6	3	11	4	17	13	91
OG0000183	7	3	4	8	20	18	1	8	7	9	6	91
OG0000184	3	4	8	21	6	14	6	3	6	12	8	91
OG0000185	0	2	10	7	15	14	2	5	11	15	10	91
