#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000007	0.0800864	3.64441e-219	2.48997e-55	1.46364e-164	N/S
OG0000007	0.328278	9.77767e-141	2.48997e-55	3.92682e-86	N/S
OG0000007	0.696402	1.01017e-103	2.48997e-55	4.05694e-49	N/S
OG0000007	1.28652	4.61605e-78	2.48997e-55	1.85386e-23	N/S
OG0000007	2.60871	2.48997e-55	2.48997e-55	1	*
OG0000009	0.0800864	3.56806e-261	6.82061e-74	5.23129e-188	N/S
OG0000009	0.328278	1.14592e-172	6.82061e-74	1.68008e-99	N/S
OG0000009	0.696402	9.87906e-131	6.82061e-74	1.44841e-57	N/S
OG0000009	1.28652	2.99954e-101	6.82061e-74	4.39776e-28	N/S
OG0000009	2.60871	6.82061e-74	6.82061e-74	1	*
OG0000010	0.0800864	1.16238e-242	4.16149e-73	2.79319e-170	N/S
OG0000010	0.328278	3.40375e-165	4.16149e-73	8.17915e-93	N/S
OG0000010	0.696402	3.3058e-127	4.16149e-73	7.94379e-55	N/S
OG0000010	1.28652	1.41565e-99	4.16149e-73	3.4018e-27	N/S
OG0000010	2.60871	4.16149e-73	4.16149e-73	1	*
OG0000011	0.0800864	1.06815e-183	4.37149e-49	2.44344e-135	N/S
OG0000011	0.328278	1.95165e-120	4.37149e-49	4.4645e-72	N/S
OG0000011	0.696402	5.32701e-90	4.37149e-49	1.21858e-41	N/S
OG0000011	1.28652	1.71301e-68	4.37149e-49	3.9186e-20	N/S
OG0000011	2.60871	4.37149e-49	4.37149e-49	1	*
OG0000018	0.0800864	3.38854e-302	1.3701e-93	2.4732e-209	N/S
OG0000018	0.328278	3.30532e-206	1.3701e-93	2.41246e-113	N/S
OG0000018	0.696402	1.62072e-159	1.3701e-93	1.18292e-66	N/S
OG0000018	1.28652	8.642e-126	1.3701e-93	6.30755e-33	N/S
OG0000018	2.60871	1.3701e-93	1.3701e-93	1	*
OG0000026	0.0800864	1.79803e-100	2.30338e-35	7.80604e-66	N/S
OG0000026	0.328278	3.92227e-69	2.30338e-35	1.70284e-34	N/S
OG0000026	0.696402	1.42965e-54	2.30338e-35	6.20677e-20	N/S
OG0000026	1.28652	1.2965e-44	2.30338e-35	5.62867e-10	N/S
OG0000026	2.60871	2.30338e-35	2.30338e-35	1	*
OG0000027	0.0800864	7.34044e-171	1.67245e-45	4.38904e-126	N/S
OG0000027	0.328278	6.20327e-112	1.67245e-45	3.70909e-67	N/S
OG0000027	0.696402	1.23007e-83	1.67245e-45	7.35491e-39	N/S
OG0000027	1.28652	9.28111e-64	1.67245e-45	5.54941e-19	N/S
OG0000027	2.60871	1.67245e-45	1.67245e-45	1	*
OG0000028	0.0800864	4.50717e-105	8.37584e-31	5.38116e-75	N/S
OG0000028	0.328278	1.83086e-67	8.37584e-31	2.18589e-37	N/S
OG0000028	0.696402	1.9354e-50	8.37584e-31	2.31069e-20	N/S
OG0000028	1.28652	1.86956e-39	8.37584e-31	2.23208e-09	N/S
OG0000028	2.60871	8.37584e-31	8.37584e-31	1	*
OG0000030	0.0800864	1.20552e-321	2.22095e-82	5.4502e-240	N/S
OG0000030	0.328278	2.95499e-215	2.22095e-82	1.33051e-133	N/S
OG0000030	0.696402	6.98074e-162	2.22095e-82	3.14314e-80	N/S
OG0000030	1.28652	6.42252e-122	2.22095e-82	2.89179e-40	N/S
OG0000030	2.60871	2.22095e-82	2.22095e-82	1	*
OG0000031	0.0800864	4.18992e-285	8.37418e-89	5.00338e-197	N/S
OG0000031	0.328278	2.98543e-199	8.37418e-89	3.56504e-111	N/S
OG0000031	0.696402	1.61599e-155	8.37418e-89	1.92973e-67	N/S
OG0000031	1.28652	2.53928e-122	8.37418e-89	3.03227e-34	N/S
OG0000031	2.60871	8.37418e-89	8.37418e-89	1	*
OG0000032	0.0800864	0	1.05555e-85	0	N/S
OG0000032	0.328278	5.27842e-219	1.05555e-85	5.00063e-134	N/S
OG0000032	0.696402	1.47765e-165	1.05555e-85	1.39989e-80	N/S
OG0000032	1.28652	1.63529e-125	1.05555e-85	1.54923e-40	N/S
OG0000032	2.60871	1.05555e-85	1.05555e-85	1	*
OG0000035	0.0800864	1.68014e-177	7.60968e-59	2.20789e-119	N/S
OG0000035	0.328278	1.00354e-124	7.60968e-59	1.31877e-66	N/S
OG0000035	0.696402	2.99904e-98	7.60968e-59	3.94109e-40	N/S
OG0000035	1.28652	1.91928e-78	7.60968e-59	2.52215e-20	N/S
OG0000035	2.60871	7.60968e-59	7.60968e-59	1	*
OG0000036	0.0800864	1.11152e-96	3.52312e-31	3.15493e-66	N/S
OG0000036	0.328278	1.80082e-64	3.52312e-31	5.11145e-34	N/S
OG0000036	0.696402	9.08727e-50	3.52312e-31	2.57932e-19	N/S
OG0000036	1.28652	6.14294e-40	3.52312e-31	1.74361e-09	N/S
OG0000036	2.60871	3.52312e-31	3.52312e-31	1	*
OG0000037	0.0800864	7.46424e-107	2.9628e-36	2.51932e-71	N/S
OG0000037	0.328278	7.65563e-74	2.9628e-36	2.58391e-38	N/S
OG0000037	0.696402	7.0967e-58	2.9628e-36	2.39526e-22	N/S
OG0000037	1.28652	1.30253e-46	2.9628e-36	4.39628e-11	N/S
OG0000037	2.60871	2.9628e-36	2.9628e-36	1	*
OG0000038	0.0800864	3.39591e-123	4.30846e-37	7.88196e-87	N/S
