#Taxon_ID	Increase	Decrease
<20>	134	2512
Lyrho<5>	1616	1681
<13>	610	292
<14>	359	941
<15>	154	692
<17>	112	166
<18>	101	137
Setor<3>	762	4579
Zeins<4>	3243	1622
Erjap<9>	3167	1646
Cechi<6>	447	3810
<19>	1375	177
Artha<11>	2734	1756
Vivin<10>	5595	1586
Poten<7>	3752	2256
<21>	717	1634
Qumon<8>	1216	4261
Metru<1>	1084	3093
Glmax<2>	6658	505
