Family ID	0.0943342	0.261085	0.439994	0.645602	0.895451	1.22223	1.70844	2.73287	
OG0000007	2.9991e-228	1.80337e-170	1.99219e-142	5.7232e-123	2.18e-107	1.2176e-93	3.27619e-80	4.05428e-64	
OG0000009	1.45898e-272	3.59429e-208	4.86305e-177	1.81314e-155	3.77762e-138	9.27286e-123	1.63467e-107	1.23636e-88	
OG0000010	8.29462e-246	1.16999e-188	2.53727e-160	2.73773e-140	5.89015e-124	2.82566e-109	1.26061e-94	1.59423e-76	
OG0000011	1.62626e-185	2.71306e-139	7.55199e-117	2.85995e-101	9.27568e-89	9.70871e-78	5.12086e-67	3.84709e-54	
OG0000018	3.25728e-318	9.47227e-248	5.21728e-213	1.65891e-188	1.57602e-168	1.61753e-150	2.08827e-132	1.35132e-109	
OG0000026	4.23369e-104	6.94737e-81	1.08313e-69	5.19908e-62	7.03542e-56	1.61823e-50	2.31785e-45	4.07046e-39	
OG0000027	1.24793e-169	1.23736e-126	9.09798e-106	2.42202e-91	8.77468e-80	1.17771e-69	7.09634e-60	3.74454e-48	
OG0000028	1.00348e-104	6.33959e-77	9.03352e-64	6.30336e-55	4.04039e-48	2.05297e-42	3.18898e-37	1.08867e-31	
OG0000030	8.39912e-323	2.08657e-245	6.17847e-207	1.37575e-179	4.03803e-157	1.02027e-136	4.52992e-116	5.70512e-90	
OG0000031	4.78592e-285	1.05182e-222	1.84361e-191	4.02371e-169	1.11589e-150	7.45162e-134	9.5887e-117	5.80118e-95	
OG0000032	0	2.51327e-248	7.57229e-210	1.78625e-182	5.78251e-160	1.69885e-139	9.61959e-119	2.01988e-92	
OG0000035	2.67469e-178	5.5208e-140	4.93936e-121	1.26549e-107	1.15666e-96	9.16012e-87	8.29156e-77	3.20036e-64	
OG0000036	1.67025e-95	6.96815e-72	1.07112e-60	3.83291e-53	3.27531e-47	3.71779e-42	1.93718e-37	5.89211e-32	
OG0000037	7.86726e-111	1.65747e-86	1.5658e-74	3.72611e-66	2.08439e-59	2.09507e-53	1.56985e-47	1.77345e-40	
OG0000038	9.35543e-125	1.05878e-94	5.35045e-80	9.11562e-70	1.40626e-61	2.2197e-54	2.11993e-47	4.0122e-39	
OG0000039	7.25905e-198	2.11011e-155	1.34908e-134	5.31032e-120	3.71885e-108	1.60917e-97	7.22354e-87	1.71744e-73	
OG0000045	6.06745e-199	1.15977e-153	2.42648e-131	1.23543e-115	7.14965e-103	2.01827e-91	5.44606e-80	8.78117e-66	
OG0000046	1.12438e-84	5.50078e-63	5.8465e-53	2.57497e-46	3.11286e-41	5.54821e-37	4.32078e-33	9.00321e-29	
OG0000047	1.62626e-144	1.28121e-111	1.54579e-95	2.63389e-84	2.95795e-75	3.25619e-67	2.76346e-59	2.10584e-49	
OG0000048	8.28834e-130	3.10542e-100	5.94888e-86	4.13836e-76	2.74143e-68	1.92777e-61	8.40107e-55	6.86901e-47	
