FamilyID	Metru<1>	Glmax<2>	Setor<3>	Zeins<4>	Lyrho<5>	Cechi<6>	Poten<7>	Qumon<8>	Erjap<9>	Vivin<10>	Artha<11>	<12>	<13>	<14>	<15>	<16>	<17>	<18>	<19>	<20>	<21>
OG0000007	0.128667	0.285736	5.86044e-11	0.414631	3.0549e-19	0.0213812	0.18176	3.12322e-06	1.28754e-06	7.14869e-26	5.33996e-07	N/A	7.77497e-14	0.219811	0.746368	0.64122	0.596119	0.682263	0.000138362	0.000117796	0.7331
OG0000009	1.1298e-07	0.904923	0.156223	0.244339	3.35748e-44	2.80682e-21	5.09991e-07	0.0721302	0.710437	1.97063e-20	0.00132512	N/A	1.22257e-14	0.753673	0.72705	0.0770202	0.588635	0.670656	6.53827e-07	0.809949	0.000184594
OG0000010	6.07779e-10	0.248402	0.0837829	0.033524	0.0173776	0.511608	0.00176062	2.37305e-11	1.73747e-14	2.29317e-11	1.01121e-07	N/A	0.0291873	0.693695	0.668787	0.586175	1.39123e-12	6.08509e-09	1.38103e-18	7.97854e-16	0.779114
OG0000011	4.97524e-19	0.0434665	0.921384	0.471312	0.000426084	0.544077	0.23712	0.000298088	0.366992	2.32416e-13	0.168195	N/A	1.07637e-09	0.192876	0.72705	0.626047	0.584809	0.664565	2.13853e-05	2.02533e-19	0.00216594
OG0000018	0.590336	0.000488709	0.000681095	0.00222702	1.63063e-45	9.18688e-26	2.30069e-12	4.8083e-08	6.42365e-11	1.01472e-41	0.000156669	N/A	0.00213643	0.703925	0.67846	0.592286	0.560612	0.623513	0.359168	0.756554	0.929121
OG0000026	0.00719451	0.899563	6.38947e-05	0.932595	0.0693018	7.16184e-16	0.450301	0.0396008	0.000414553	0.0730685	0.823891	N/A	0.00213643	0.144264	0.128461	0.604078	0.00389144	2.66375e-06	0.00302674	0.00687532	0.795789
OG0000027	3.33598e-16	0.00750607	2.68191e-10	2.95987e-07	0.522813	0.0342209	0.0767261	0.273765	0.000217302	0.0626588	0.812278	N/A	0.00160278	0.693695	0.668787	0.586175	0.556363	1.46462e-08	0.00663554	1.67451e-13	0.00321036
OG0000028	0.875362	0.107895	0.000121097	2.95816e-07	0.151895	0.599694	9.77336e-05	1.71082e-05	0.0578487	0.536396	4.26787e-05	N/A	0.00213643	0.144264	0.687638	0.598252	0.564798	0.0157546	0.0820699	0.000580547	0.0152541
OG0000030	0.11934	0.00900066	3.12516e-122	0.041632	0.000337618	7.4329e-05	0.124721	0.5	0.5	0.193357	0.571544	N/A	0.522908	0.522908	0.518834	0.0041123	0.510127	8.69005e-12	0.790995	0.563929	0.300222
OG0000031	0.714399	3.84789e-18	0.693552	3.81818e-05	1.163e-38	3.22603e-15	4.97967e-09	1.47529e-16	5.17914e-10	9.7995e-11	0.002809	N/A	0.000304271	0.645524	0.624465	0.0328259	0.543223	0.0070022	2.85604e-15	0.708293	0.140294
OG0000032	0.00359241	0.62193	4.6222e-139	0.776736	0.511608	0.0173776	0.124721	0.0846798	0.557029	0.193357	0.571544	N/A	0.522908	0.522908	0.518834	0.508191	0.0025577	0.0116744	0.252332	0.533643	0.709578
OG0000035	0.25223	0.00140086	1.84322e-11	0.208821	3.33388e-21	4.35654e-23	0.416809	3.86669e-08	0.00729177	0.478137	8.63815e-05	N/A	3.67289e-07	0.00213643	0.67846	0.592286	0.560612	0.623513	1.08366e-09	0.756554	0.132406
OG0000036	0.281566	9.16054e-09	0.00832967	0.0909482	0.080526	2.33886e-07	0.00817696	1.74056e-06	0.00108776	0.0730685	0.823891	N/A	0.00213643	0.144264	0.128461	0.604078	0.568921	0.638111	0.0735349	0.441802	0.795789
OG0000037	0.224518	0.49142	0.060424	0.257439	2.77622e-11	4.97769e-13	0.00176062	7.71535e-06	0.00432689	0.00208122	0.129231	N/A	0.00115709	0.123549	0.668787	0.00624309	0.00341064	0.0199505	0.00663554	0.76618	0.779114
OG0000038	0.194482	0.459781	0.548271	0.611235	0.599694	5.20369e-10	0.225792	3.18067e-13	4.84893e-06	2.20437e-12	0.0517767	N/A	3.317e-05	0.682795	0.658585	0.579916	0.028083	0.0693018	5.65183e-05	0.36999	0.102963
OG0000039	0.539959	0.0928105	0.363375	0.172239	1.52239e-30	3.21178e-19	3.42694e-07	1.00042e-13	1.33082e-07	3.60699e-15	4.26787e-05	N/A	0.112935	0.682795	0.658585	0.579916	0.552049	0.607903	0.827367	0.73459	0.380404
OG0000045	0.204753	0.0744761	0.314653	0.0182176	1.17468e-22	3.22603e-15	8.52171e-07	0.518361	0.0805688	1.18405e-29	0.00139569	N/A	4.55079e-07	0.658768	0.636462	0.566935	0.543223	0.591201	3.52596e-10	0.708293	0.163728
OG0000046	0.435414	0.0279865	0.706729	0.00489428	0.0119303	4.70747e-06	0.00176062	0.280189	0.140546	5.46935e-10	0.812278	N/A	0.00160278	0.693695	0.668787	0.586175	0.556363	0.615839	0.000254143	0.746057	0.779114
OG0000047	0.139557	0.856875	0.00136931	0.915566	8.01208e-20	0.000169818	0.00715599	3.71188e-10	1.28918e-09	1.82501e-14	0.823891	N/A	0.112935	0.682795	0.658585	0.579916	0.552049	0.607903	0.00754616	0.177144	0.6256
OG0000048	0.850844	0.127989	0.894898	0.246766	2.04298e-13	4.79278e-12	8.09022e-05	7.52677e-07	0.0039577	1.20702e-07	2.31106e-11	N/A	0.112935	0.682795	0.658585	0.579916	0.552049	0.607903	0.0411428	0.73459	0.207531
OG0000049	0.5	0.5	1.24303e-125	0.686966	0.511608	0.511608	0.584449	0.557029	0.0846798	0.632286	0.571544	N/A	0.522908	0.522908	0.518834	0.508191	0.505102	0.511608	0.100276	0.533643	0.709578
OG0000050	6.68102e-22	0.000186674	2.05447e-07	0.0412008	0.000165047	4.60907e-05	0.0015789	0.0776735	0.476989	0.534308	0.323394	N/A	0.0462154	0.00834727	0.611791	0.0287403	0.538709	0.000165047	0.0411428	0.693196	6.39495e-09
OG0000051	0.00569534	0.156767	0.141986	0.736505	1.4489e-22	0.200984	0.00530499	0.239163	0.00759363	1.8704e-24	0.798561	N/A	0.0198035	0.671171	0.647822	0.573504	0.54767	0.599694	0.817077	0.000502142	0.757561
OG0000053	0.239606	4.45935e-06	0.403744	1.39381e-05	1.49858e-22	2.69113e-20	9.4346e-06	0.00714379	0.170653	0.89151	0.088535	N/A	0.112935	0.123549	0.111133	0.592286	0.560612	0.623513	0.116305	0.756554	0.641052
OG0000055	0.000563009	0.00163184	0.882552	0.0182176	9.58961e-12	0.57332	0.843019	0.100002	0.552008	1.83352e-31	0.00105608	N/A	0.112935	0.682795	0.244726	0.111475	0.543223	0.591201	0.805085	0.0195662	0.207531
OG0000056	0.0992883	0.435414	0.284851	0.00288357	0.00300288	0.599694	0.00394471	0.212697	0.0590817	0.89151	0.0383872	N/A	0.112935	0.123549	0.668787	0.586175	0.556363	0.0693018	0.00218111	0.0327733	0.117759
OG0000059	8.85348e-16	0.281566	0.660887	0.721944	2.58174e-10	3.44117e-09	0.00376254	0.677483	0.677483	1.09396e-10	9.891e-09	N/A	0.671171	0.264813	0.636462	0.566935	0.543223	0.591201	4.0991e-07	0.708293	0.0281793
OG0000060	0.239606	4.45935e-06	0.71835	0.381394	0.0749304	1.55505e-07	1.50927e-06	0.010008	0.124966	0.326634	0.00105608	N/A	0.671171	0.112935	0.0243979	0.592286	0.560612	0.623513	0.116305	0.756554	0.769087
OG0000061	7.91655e-14	0.672307	0.563586	0.0234832	0.0070022	3.22603e-15	0.00376254	0.0600919	0.000171397	1.03508e-05	0.798561	N/A	0.0912291	0.658768	0.636462	0.0369031	0.00177749	0.0119303	2.36624e-05	0.348473	0.237607
OG0000062	3.35729e-130	1.78592e-06	0.201994	0.686966	0.0173776	0.00583717	0.584449	0.557029	0.0846798	0.00141535	0.571544	N/A	0.522908	0.522908	0.518834	0.508191	0.505102	0.511608	1.43167e-12	0.533643	0.709578
