#Taxon_ID	Increase	Decrease
<20>	112	2366
Lyrho<5>	1540	1697
<13>	342	51
<14>	303	782
<15>	113	646
<16>	65	415
<17>	42	54
<18>	90	68
Setor<3>	779	4646
Zeins<4>	3217	1620
Erjap<9>	3164	1704
Cechi<6>	427	3869
<19>	1463	275
Artha<11>	2718	2226
Vivin<10>	5442	1537
Poten<7>	3501	2220
<21>	904	1929
Qumon<8>	1211	4401
Metru<1>	1097	3167
Glmax<2>	6663	514
